,Precinct,Race,Candidate,Total Votes,Vote Percentage
145,1010,Mayor,Michael Samaniego,3,2.34
146,1010,Mayor,Diana Flores Uriegas,7,5.47
149,1010,District 5,Arturo Espinosa,4,3.12
150,1010,District 5,Teri Castillo,105,82.03
151,1010,District 5,Rudy Lopez,19,14.84
154,1011,Mayor,Ray Adam Basaldua,2,1.83
155,1011,Mayor,Christopher T. Schuchardt,13,11.93
156,1011,Mayor,Christopher Longoria,6,5.5
157,1011,Mayor,Ron Nirenberg,77,70.64
158,1011,Mayor,Armando Dominguez,1,0.92
159,1011,Mayor,Michael Idrogo,1,0.92
160,1011,Mayor,Gary Allen,1,0.92
161,1011,Mayor,Michael Samaniego,3,2.75
162,1011,Mayor,Diana Flores Uriegas,5,4.59
165,1011,District 3,Jayden Muñoz,18,17.14
166,1011,District 3,Phyllis Viagran,60,57.14
167,1011,District 3,Erin Gallegos Reid,14,13.33
168,1011,District 3,Larry La Rose,13,12.38
171,1012,Mayor,Ray Adam Basaldua,8,3.85
172,1012,Mayor,Christopher T. Schuchardt,35,16.83
173,1012,Mayor,Christopher Longoria,9,4.33
174,1012,Mayor,Ron Nirenberg,114,54.81
175,1012,Mayor,Armando Dominguez,4,1.92
176,1012,Mayor,Michael Idrogo,2,0.96
177,1012,Mayor,Gary Allen,20,9.62
178,1012,Mayor,Michael Samaniego,7,3.37
179,1012,Mayor,Diana Flores Uriegas,9,4.33
182,1012,District 4,Adriana Rocha Garcia,126,72.41
183,1012,District 4,Gregorio De La Paz,48,27.59
186,1013,Mayor,Ray Adam Basaldua,6,2.08
187,1013,Mayor,Christopher T. Schuchardt,25,8.65
188,1013,Mayor,Christopher Longoria,8,2.77
189,1013,Mayor,Ron Nirenberg,218,75.43
190,1013,Mayor,Armando Dominguez,2,0.69
191,1013,Mayor,Michael Idrogo,1,0.35
192,1013,Mayor,Gary Allen,10,3.46
193,1013,Mayor,Michael Samaniego,5,1.73
194,1013,Mayor,Diana Flores Uriegas,14,4.84
197,1013,District 5,Arturo Espinosa,11,3.86
198,1013,District 5,Teri Castillo,167,58.6
199,1013,District 5,Rudy Lopez,107,37.54
202,1014,Mayor,Ray Adam Basaldua,2,2.33
203,1014,Mayor,Christopher T. Schuchardt,14,16.28
204,1014,Mayor,Christopher Longoria,1,1.16
205,1014,Mayor,Ron Nirenberg,61,70.93
206,1014,Mayor,Armando Dominguez,0,0.0
207,1014,Mayor,Michael Idrogo,0,0.0
208,1014,Mayor,Gary Allen,2,2.33
209,1014,Mayor,Michael Samaniego,2,2.33
210,1014,Mayor,Diana Flores Uriegas,4,4.65
213,1014,District 5,Arturo Espinosa,6,7.41
214,1014,District 5,Teri Castillo,46,56.79
215,1014,District 5,Rudy Lopez,29,35.8
218,1015,Mayor,Ray Adam Basaldua,6,5.83
219,1015,Mayor,Christopher T. Schuchardt,10,9.71
220,1015,Mayor,Christopher Longoria,4,3.88
221,1015,Mayor,Ron Nirenberg,71,68.93
222,1015,Mayor,Armando Dominguez,0,0.0
223,1015,Mayor,Michael Idrogo,0,0.0
224,1015,Mayor,Gary Allen,6,5.83
225,1015,Mayor,Michael Samaniego,4,3.88
226,1015,Mayor,Diana Flores Uriegas,2,1.94
229,1015,District 5,Arturo Espinosa,5,5.21
230,1015,District 5,Teri Castillo,68,70.83
231,1015,District 5,Rudy Lopez,23,23.96
234,1016,Mayor,Ray Adam Basaldua,0,0.0
235,1016,Mayor,Christopher T. Schuchardt,5,5.75
236,1016,Mayor,Christopher Longoria,0,0.0
237,1016,Mayor,Ron Nirenberg,64,73.56
238,1016,Mayor,Armando Dominguez,2,2.3
239,1016,Mayor,Michael Idrogo,2,2.3
240,1016,Mayor,Gary Allen,4,4.6
241,1016,Mayor,Michael Samaniego,1,1.15
242,1016,Mayor,Diana Flores Uriegas,9,10.34
245,1016,District 3,Jayden Muñoz,13,15.66
246,1016,District 3,Phyllis Viagran,49,59.04
247,1016,District 3,Erin Gallegos Reid,16,19.28
248,1016,District 3,Larry La Rose,5,6.02
251,1017,Mayor,Ray Adam Basaldua,1,2.63
252,1017,Mayor,Christopher T. Schuchardt,3,7.89
253,1017,Mayor,Christopher Longoria,1,2.63
254,1017,Mayor,Ron Nirenberg,21,55.26
255,1017,Mayor,Armando Dominguez,0,0.0
256,1017,Mayor,Michael Idrogo,1,2.63
257,1017,Mayor,Gary Allen,6,15.79
258,1017,Mayor,Michael Samaniego,2,5.26
259,1017,Mayor,Diana Flores Uriegas,3,7.89
262,1017,District 3,Jayden Muñoz,5,13.89
263,1017,District 3,Phyllis Viagran,22,61.11
264,1017,District 3,Erin Gallegos Reid,6,16.67
265,1017,District 3,Larry La Rose,3,8.33
268,1018,Mayor,Ray Adam Basaldua,2,2.13
269,1018,Mayor,Christopher T. Schuchardt,9,9.57
270,1018,Mayor,Christopher Longoria,4,4.26
271,1018,Mayor,Ron Nirenberg,63,67.02
272,1018,Mayor,Armando Dominguez,2,2.13
273,1018,Mayor,Michael Idrogo,1,1.06
274,1018,Mayor,Gary Allen,4,4.26
275,1018,Mayor,Michael Samaniego,1,1.06
276,1018,Mayor,Diana Flores Uriegas,8,8.51
279,1018,District 3,Jayden Muñoz,15,16.13
280,1018,District 3,Phyllis Viagran,52,55.91
281,1018,District 3,Erin Gallegos Reid,14,15.05
282,1018,District 3,Larry La Rose,12,12.9
285,1019,Mayor,Ray Adam Basaldua,0,0.0
286,1019,Mayor,Christopher T. Schuchardt,10,12.35
287,1019,Mayor,Christopher Longoria,2,2.47
288,1019,Mayor,Ron Nirenberg,64,79.01
289,1019,Mayor,Armando Dominguez,0,0.0
290,1019,Mayor,Michael Idrogo,0,0.0
291,1019,Mayor,Gary Allen,0,0.0
292,1019,Mayor,Michael Samaniego,2,2.47
293,1019,Mayor,Diana Flores Uriegas,3,3.7
296,1019,District 3,Jayden Muñoz,9,11.69
297,1019,District 3,Phyllis Viagran,43,55.84
298,1019,District 3,Erin Gallegos Reid,16,20.78
299,1019,District 3,Larry La Rose,9,11.69
302,1020,Mayor,Ray Adam Basaldua,10,3.98
303,1020,Mayor,Christopher T. Schuchardt,40,15.94
304,1020,Mayor,Christopher Longoria,4,1.59
305,1020,Mayor,Ron Nirenberg,161,64.14
306,1020,Mayor,Armando Dominguez,3,1.2
307,1020,Mayor,Michael Idrogo,3,1.2
308,1020,Mayor,Gary Allen,11,4.38
309,1020,Mayor,Michael Samaniego,10,3.98
310,1020,Mayor,Diana Flores Uriegas,9,3.59
313,1020,District 3,Jayden Muñoz,38,15.7
314,1020,District 3,Phyllis Viagran,130,53.72
315,1020,District 3,Erin Gallegos Reid,49,20.25
316,1020,District 3,Larry La Rose,25,10.33
319,1021,Mayor,Ray Adam Basaldua,4,2.12
320,1021,Mayor,Christopher T. Schuchardt,16,8.47
321,1021,Mayor,Christopher Longoria,9,4.76
322,1021,Mayor,Ron Nirenberg,132,69.84
323,1021,Mayor,Armando Dominguez,2,1.06
324,1021,Mayor,Michael Idrogo,0,0.0
325,1021,Mayor,Gary Allen,4,2.12
326,1021,Mayor,Michael Samaniego,3,1.59
327,1021,Mayor,Diana Flores Uriegas,19,10.05
330,1021,District 3,Jayden Muñoz,31,17.13
331,1021,District 3,Phyllis Viagran,105,58.01
332,1021,District 3,Erin Gallegos Reid,30,16.57
333,1021,District 3,Larry La Rose,15,8.29
336,1022,Mayor,Ray Adam Basaldua,3,3.75
337,1022,Mayor,Christopher T. Schuchardt,9,11.25
338,1022,Mayor,Christopher Longoria,1,1.25
339,1022,Mayor,Ron Nirenberg,60,75.0
340,1022,Mayor,Armando Dominguez,0,0.0
341,1022,Mayor,Michael Idrogo,1,1.25
342,1022,Mayor,Gary Allen,3,3.75
343,1022,Mayor,Michael Samaniego,0,0.0
344,1022,Mayor,Diana Flores Uriegas,3,3.75
347,1022,District 4,Adriana Rocha Garcia,61,87.14
348,1022,District 4,Gregorio De La Paz,9,12.86
351,1023,Mayor,Ray Adam Basaldua,3,1.67
352,1023,Mayor,Christopher T. Schuchardt,20,11.11
353,1023,Mayor,Christopher Longoria,8,4.44
354,1023,Mayor,Ron Nirenberg,132,73.33
355,1023,Mayor,Armando Dominguez,2,1.11
356,1023,Mayor,Michael Idrogo,0,0.0
357,1023,Mayor,Gary Allen,7,3.89
358,1023,Mayor,Michael Samaniego,3,1.67
359,1023,Mayor,Diana Flores Uriegas,5,2.78
362,1023,District 5,Arturo Espinosa,14,8.33
363,1023,District 5,Teri Castillo,92,54.76
364,1023,District 5,Rudy Lopez,62,36.9
367,1024,Mayor,Ray Adam Basaldua,13,3.16
368,1024,Mayor,Christopher T. Schuchardt,67,16.3
369,1024,Mayor,Christopher Longoria,9,2.19
370,1024,Mayor,Ron Nirenberg,245,59.61
371,1024,Mayor,Armando Dominguez,7,1.7
372,1024,Mayor,Michael Idrogo,3,0.73
373,1024,Mayor,Gary Allen,33,8.03
374,1024,Mayor,Michael Samaniego,16,3.89
375,1024,Mayor,Diana Flores Uriegas,18,4.38
378,1024,District 4,Adriana Rocha Garcia,259,77.08
379,1024,District 4,Gregorio De La Paz,77,22.92
382,1025,Mayor,Ray Adam Basaldua,0,0.0
383,1025,Mayor,Christopher T. Schuchardt,0,0.0
384,1025,Mayor,Christopher Longoria,0,0.0
385,1025,Mayor,Ron Nirenberg,23,79.31
386,1025,Mayor,Armando Dominguez,2,6.9
387,1025,Mayor,Michael Idrogo,0,0.0
388,1025,Mayor,Gary Allen,4,13.79
389,1025,Mayor,Michael Samaniego,0,0.0
390,1025,Mayor,Diana Flores Uriegas,0,0.0
393,1025,District 5,Arturo Espinosa,4,13.79
394,1025,District 5,Teri Castillo,16,55.17
395,1025,District 5,Rudy Lopez,9,31.03
398,1026,Mayor,Ray Adam Basaldua,5,7.14
399,1026,Mayor,Christopher T. Schuchardt,10,14.29
400,1026,Mayor,Christopher Longoria,1,1.43
401,1026,Mayor,Ron Nirenberg,45,64.29
402,1026,Mayor,Armando Dominguez,1,1.43
403,1026,Mayor,Michael Idrogo,0,0.0
404,1026,Mayor,Gary Allen,3,4.29
405,1026,Mayor,Michael Samaniego,2,2.86
406,1026,Mayor,Diana Flores Uriegas,3,4.29
409,1026,District 5,Arturo Espinosa,2,3.03
410,1026,District 5,Teri Castillo,40,60.61
411,1026,District 5,Rudy Lopez,24,36.36
414,1028,Mayor,Ray Adam Basaldua,1,1.28
415,1028,Mayor,Christopher T. Schuchardt,13,16.67
416,1028,Mayor,Christopher Longoria,4,5.13
417,1028,Mayor,Ron Nirenberg,50,64.1
418,1028,Mayor,Armando Dominguez,1,1.28
419,1028,Mayor,Michael Idrogo,0,0.0
420,1028,Mayor,Gary Allen,6,7.69
421,1028,Mayor,Michael Samaniego,0,0.0
422,1028,Mayor,Diana Flores Uriegas,3,3.85
425,1028,District 5,Arturo Espinosa,8,10.81
426,1028,District 5,Teri Castillo,40,54.05
427,1028,District 5,Rudy Lopez,26,35.14
430,1029,Mayor,Ray Adam Basaldua,5,2.31
431,1029,Mayor,Christopher T. Schuchardt,22,10.19
432,1029,Mayor,Christopher Longoria,6,2.78
433,1029,Mayor,Ron Nirenberg,153,70.83
434,1029,Mayor,Armando Dominguez,3,1.39
435,1029,Mayor,Michael Idrogo,2,0.93
436,1029,Mayor,Gary Allen,6,2.78
437,1029,Mayor,Michael Samaniego,5,2.31
438,1029,Mayor,Diana Flores Uriegas,14,6.48
441,1029,District 5,Arturo Espinosa,8,3.76
442,1029,District 5,Teri Castillo,112,52.58
443,1029,District 5,Rudy Lopez,93,43.66
446,1030,Mayor,Ray Adam Basaldua,0,0.0
447,1030,Mayor,Christopher T. Schuchardt,0,0.0
448,1030,Mayor,Christopher Longoria,0,0.0
449,1030,Mayor,Ron Nirenberg,3,100.0
450,1030,Mayor,Armando Dominguez,0,0.0
451,1030,Mayor,Michael Idrogo,0,0.0
452,1030,Mayor,Gary Allen,0,0.0
453,1030,Mayor,Michael Samaniego,0,0.0
454,1030,Mayor,Diana Flores Uriegas,0,0.0
457,1030,District 4,Adriana Rocha Garcia,3,100.0
458,1030,District 4,Gregorio De La Paz,0,0.0
461,1031,Mayor,Ray Adam Basaldua,3,2.24
462,1031,Mayor,Christopher T. Schuchardt,17,12.69
463,1031,Mayor,Christopher Longoria,4,2.99
464,1031,Mayor,Ron Nirenberg,85,63.43
465,1031,Mayor,Armando Dominguez,0,0.0
466,1031,Mayor,Michael Idrogo,1,0.75
467,1031,Mayor,Gary Allen,6,4.48
468,1031,Mayor,Michael Samaniego,8,5.97
469,1031,Mayor,Diana Flores Uriegas,10,7.46
472,1031,District 5,Arturo Espinosa,5,3.57
473,1031,District 5,Teri Castillo,61,43.57
474,1031,District 5,Rudy Lopez,74,52.86
477,1032,Mayor,Ray Adam Basaldua,3,1.62
478,1032,Mayor,Christopher T. Schuchardt,13,7.03
479,1032,Mayor,Christopher Longoria,6,3.24
480,1032,Mayor,Ron Nirenberg,144,77.84
481,1032,Mayor,Armando Dominguez,3,1.62
482,1032,Mayor,Michael Idrogo,0,0.0
483,1032,Mayor,Gary Allen,4,2.16
484,1032,Mayor,Michael Samaniego,3,1.62
485,1032,Mayor,Diana Flores Uriegas,9,4.86
488,1032,District 5,Arturo Espinosa,5,2.72
489,1032,District 5,Teri Castillo,105,57.07
490,1032,District 5,Rudy Lopez,74,40.22
493,1033,Mayor,Ray Adam Basaldua,3,1.71
494,1033,Mayor,Christopher T. Schuchardt,23,13.14
495,1033,Mayor,Christopher Longoria,2,1.14
496,1033,Mayor,Ron Nirenberg,118,67.43
497,1033,Mayor,Armando Dominguez,1,0.57
498,1033,Mayor,Michael Idrogo,1,0.57
499,1033,Mayor,Gary Allen,14,8.0
500,1033,Mayor,Michael Samaniego,5,2.86
501,1033,Mayor,Diana Flores Uriegas,8,4.57
504,1033,District 4,Adriana Rocha Garcia,108,70.59
505,1033,District 4,Gregorio De La Paz,45,29.41
508,1036,Mayor,Ray Adam Basaldua,12,2.79
509,1036,Mayor,Christopher T. Schuchardt,91,21.16
510,1036,Mayor,Christopher Longoria,16,3.72
511,1036,Mayor,Ron Nirenberg,247,57.44
512,1036,Mayor,Armando Dominguez,5,1.16
513,1036,Mayor,Michael Idrogo,2,0.47
514,1036,Mayor,Gary Allen,23,5.35
515,1036,Mayor,Michael Samaniego,16,3.72
516,1036,Mayor,Diana Flores Uriegas,18,4.19
519,1036,District 4,Adriana Rocha Garcia,278,74.33
520,1036,District 4,Gregorio De La Paz,96,25.67
523,1037,Mayor,Ray Adam Basaldua,4,1.78
524,1037,Mayor,Christopher T. Schuchardt,39,17.33
525,1037,Mayor,Christopher Longoria,3,1.33
526,1037,Mayor,Ron Nirenberg,146,64.89
527,1037,Mayor,Armando Dominguez,5,2.22
528,1037,Mayor,Michael Idrogo,3,1.33
529,1037,Mayor,Gary Allen,13,5.78
530,1037,Mayor,Michael Samaniego,4,1.78
531,1037,Mayor,Diana Flores Uriegas,8,3.56
534,1037,District 4,Adriana Rocha Garcia,151,73.66
535,1037,District 4,Gregorio De La Paz,54,26.34
538,1038,Mayor,Ray Adam Basaldua,11,2.92
539,1038,Mayor,Christopher T. Schuchardt,64,16.98
540,1038,Mayor,Christopher Longoria,11,2.92
541,1038,Mayor,Ron Nirenberg,239,63.4
542,1038,Mayor,Armando Dominguez,4,1.06
543,1038,Mayor,Michael Idrogo,4,1.06
544,1038,Mayor,Gary Allen,24,6.37
545,1038,Mayor,Michael Samaniego,14,3.71
546,1038,Mayor,Diana Flores Uriegas,6,1.59
549,1038,District 4,Adriana Rocha Garcia,266,76.88
550,1038,District 4,Gregorio De La Paz,80,23.12
553,1039,Mayor,Ray Adam Basaldua,8,4.94
554,1039,Mayor,Christopher T. Schuchardt,13,8.02
555,1039,Mayor,Christopher Longoria,2,1.23
556,1039,Mayor,Ron Nirenberg,114,70.37
557,1039,Mayor,Armando Dominguez,4,2.47
558,1039,Mayor,Michael Idrogo,1,0.62
559,1039,Mayor,Gary Allen,9,5.56
560,1039,Mayor,Michael Samaniego,3,1.85
561,1039,Mayor,Diana Flores Uriegas,8,4.94
564,1039,District 4,Adriana Rocha Garcia,108,75.0
565,1039,District 4,Gregorio De La Paz,36,25.0
568,1040,Mayor,Ray Adam Basaldua,1,0.53
569,1040,Mayor,Christopher T. Schuchardt,16,8.42
570,1040,Mayor,Christopher Longoria,1,0.53
571,1040,Mayor,Ron Nirenberg,148,77.89
572,1040,Mayor,Armando Dominguez,5,2.63
573,1040,Mayor,Michael Idrogo,1,0.53
574,1040,Mayor,Gary Allen,7,3.68
575,1040,Mayor,Michael Samaniego,6,3.16
576,1040,Mayor,Diana Flores Uriegas,5,2.63
579,1040,District 4,Adriana Rocha Garcia,137,78.74
580,1040,District 4,Gregorio De La Paz,37,21.26
583,1041,Mayor,Ray Adam Basaldua,4,2.92
584,1041,Mayor,Christopher T. Schuchardt,26,18.98
585,1041,Mayor,Christopher Longoria,7,5.11
586,1041,Mayor,Ron Nirenberg,81,59.12
587,1041,Mayor,Armando Dominguez,0,0.0
588,1041,Mayor,Michael Idrogo,1,0.73
589,1041,Mayor,Gary Allen,5,3.65
590,1041,Mayor,Michael Samaniego,4,2.92
591,1041,Mayor,Diana Flores Uriegas,9,6.57
594,1041,District 4,Adriana Rocha Garcia,90,70.31
595,1041,District 4,Gregorio De La Paz,38,29.69
598,1042,Mayor,Ray Adam Basaldua,2,1.96
599,1042,Mayor,Christopher T. Schuchardt,16,15.69
600,1042,Mayor,Christopher Longoria,3,2.94
601,1042,Mayor,Ron Nirenberg,64,62.75
602,1042,Mayor,Armando Dominguez,5,4.9
603,1042,Mayor,Michael Idrogo,1,0.98
604,1042,Mayor,Gary Allen,4,3.92
605,1042,Mayor,Michael Samaniego,2,1.96
606,1042,Mayor,Diana Flores Uriegas,5,4.9
609,1042,District 4,Adriana Rocha Garcia,60,67.42
610,1042,District 4,Gregorio De La Paz,29,32.58
613,1043,Mayor,Ray Adam Basaldua,2,1.09
614,1043,Mayor,Christopher T. Schuchardt,29,15.85
615,1043,Mayor,Christopher Longoria,6,3.28
616,1043,Mayor,Ron Nirenberg,113,61.75
617,1043,Mayor,Armando Dominguez,1,0.55
618,1043,Mayor,Michael Idrogo,0,0.0
619,1043,Mayor,Gary Allen,13,7.1
620,1043,Mayor,Michael Samaniego,13,7.1
621,1043,Mayor,Diana Flores Uriegas,6,3.28
624,1043,District 4,Adriana Rocha Garcia,99,64.71
625,1043,District 4,Gregorio De La Paz,54,35.29
628,1044,Mayor,Ray Adam Basaldua,8,3.79
629,1044,Mayor,Christopher T. Schuchardt,26,12.32
630,1044,Mayor,Christopher Longoria,10,4.74
631,1044,Mayor,Ron Nirenberg,143,67.77
632,1044,Mayor,Armando Dominguez,1,0.47
633,1044,Mayor,Michael Idrogo,1,0.47
634,1044,Mayor,Gary Allen,6,2.84
635,1044,Mayor,Michael Samaniego,9,4.27
636,1044,Mayor,Diana Flores Uriegas,7,3.32
639,1044,District 4,Adriana Rocha Garcia,136,70.47
640,1044,District 4,Gregorio De La Paz,57,29.53
643,1045,Mayor,Ray Adam Basaldua,10,2.75
644,1045,Mayor,Christopher T. Schuchardt,41,11.29
645,1045,Mayor,Christopher Longoria,12,3.31
646,1045,Mayor,Ron Nirenberg,240,66.12
647,1045,Mayor,Armando Dominguez,6,1.65
648,1045,Mayor,Michael Idrogo,2,0.55
649,1045,Mayor,Gary Allen,18,4.96
650,1045,Mayor,Michael Samaniego,18,4.96
651,1045,Mayor,Diana Flores Uriegas,16,4.41
654,1045,District 4,Adriana Rocha Garcia,243,74.77
655,1045,District 4,Gregorio De La Paz,82,25.23
658,1046,Mayor,Ray Adam Basaldua,9,5.33
659,1046,Mayor,Christopher T. Schuchardt,29,17.16
660,1046,Mayor,Christopher Longoria,2,1.18
661,1046,Mayor,Ron Nirenberg,106,62.72
662,1046,Mayor,Armando Dominguez,5,2.96
663,1046,Mayor,Michael Idrogo,0,0.0
664,1046,Mayor,Gary Allen,5,2.96
665,1046,Mayor,Michael Samaniego,7,4.14
666,1046,Mayor,Diana Flores Uriegas,6,3.55
669,1046,District 4,Adriana Rocha Garcia,113,73.38
670,1046,District 4,Gregorio De La Paz,41,26.62
673,1047,Mayor,Ray Adam Basaldua,5,3.29
674,1047,Mayor,Christopher T. Schuchardt,26,17.11
675,1047,Mayor,Christopher Longoria,10,6.58
676,1047,Mayor,Ron Nirenberg,96,63.16
677,1047,Mayor,Armando Dominguez,2,1.32
678,1047,Mayor,Michael Idrogo,0,0.0
679,1047,Mayor,Gary Allen,4,2.63
680,1047,Mayor,Michael Samaniego,3,1.97
681,1047,Mayor,Diana Flores Uriegas,6,3.95
684,1047,District 3,Jayden Muñoz,34,23.94
685,1047,District 3,Phyllis Viagran,53,37.32
686,1047,District 3,Erin Gallegos Reid,18,12.68
687,1047,District 3,Larry La Rose,37,26.06
690,1048,Mayor,Ray Adam Basaldua,8,3.21
691,1048,Mayor,Christopher T. Schuchardt,28,11.24
692,1048,Mayor,Christopher Longoria,8,3.21
693,1048,Mayor,Ron Nirenberg,163,65.46
694,1048,Mayor,Armando Dominguez,5,2.01
695,1048,Mayor,Michael Idrogo,2,0.8
696,1048,Mayor,Gary Allen,9,3.61
697,1048,Mayor,Michael Samaniego,8,3.21
698,1048,Mayor,Diana Flores Uriegas,18,7.23
701,1048,District 3,Jayden Muñoz,47,19.03
702,1048,District 3,Phyllis Viagran,126,51.01
703,1048,District 3,Erin Gallegos Reid,29,11.74
704,1048,District 3,Larry La Rose,45,18.22
707,1049,Mayor,Ray Adam Basaldua,11,4.1
708,1049,Mayor,Christopher T. Schuchardt,34,12.69
709,1049,Mayor,Christopher Longoria,9,3.36
710,1049,Mayor,Ron Nirenberg,175,65.3
711,1049,Mayor,Armando Dominguez,4,1.49
712,1049,Mayor,Michael Idrogo,4,1.49
713,1049,Mayor,Gary Allen,12,4.48
714,1049,Mayor,Michael Samaniego,7,2.61
715,1049,Mayor,Diana Flores Uriegas,12,4.48
718,1049,District 3,Jayden Muñoz,41,15.83
