Precinct,Registered Voters,Ballots Cast,Voter Turnout (%)
2110,"1,225",155,21.63%
2111,"1,231",58,6.82%
2112,"1,768",178,13.35%
2113,96,4,6.25%
2114,"2,235",190,14.63%
2115,"6,741",143,3.66%
2116,0,0,0.00%
2117,644,57,15.06%
2118,32,7,25.00%
2119,294,29,13.95%
2120,"2,447",91,5.19%
2121,521,43,13.82%
2122,"1,695",82,8.08%
2123,"2,159",276,17.69%
2124,601,117,28.95%
2125,14,0,14.29%
2126,"1,576",137,12.37%
2127,"2,651",367,21.95%
2128,"2,505",138,8.54%
2129,0,0,0.00%
2130,"2,049",296,21.43%
2131,438,39,14.16%
2132,3,0,0.00%
2133,341,42,21.99%
2134,"1,479",78,8.65%
2135,745,68,14.63%
2136,"4,106",108,4.48%
2137,"1,181",172,22.44%
2138,"1,056",112,18.56%
2139,"1,904",265,20.17%
2140,"1,820",131,11.48%
2141,"1,374",181,21.47%
2142,674,43,11.13%
2143,"2,181",224,13.25%
2144,"1,872",260,24.57%
2145,348,56,25.57%
2146,97,7,9.28%
2147,701,48,9.99%
2148,"3,724",260,11.95%
2149,"2,192",149,11.22%
2150,10,1,10.00%
2151,54,2,5.56%
2152,611,46,12.28%
2153,405,14,5.68%
2155,1,0,0.00%
2156,"1,361",79,9.70%
2157,0,0,0.00%
2158,0,0,0.00%
2159,212,26,16.51%
2160,6,4,66.67%
3001,"3,643",401,20.07%
3002,"2,386",301,17.23%
3003,72,15,26.39%
3004,0,0,0.00%
3005,0,0,0.00%
3006,"1,062",198,34.93%
3007,"3,187",439,20.99%
3008,93,7,7.53%
3009,14,2,14.29%
3010,664,42,10.84%
3011,951,244,40.17%
3012,"1,157",13,3.03%
3013,"1,838",256,26.06%
3014,548,73,29.74%
3015,"1,009",162,29.93%
3016,209,40,25.84%
3018,"1,767",262,23.09%
3019,716,43,10.34%
3020,"2,541",343,23.46%
3021,"2,327",621,39.15%
3022,"1,584",244,25.95%
3023,"2,470",300,23.00%
3024,0,0,0.00%
3025,"1,714",255,25.61%
3026,"1,460",293,31.23%
3027,"1,459",273,33.93%
3028,"2,106",303,21.89%
3029,"1,249",196,25.22%
3030,"2,171",481,34.50%
3031,25,5,32.00%
3032,"2,167",223,15.87%
3033,"2,131",313,25.25%
3035,807,132,27.39%
3036,"4,286",412,14.30%
3037,"2,820",415,25.04%
3038,"1,217",126,15.94%
3039,0,0,0.00%
3040,"2,105",345,26.60%
3041,558,74,19.53%
3042,"2,445",373,23.89%
3044,"1,485",233,24.85%
3045,"1,560",318,32.31%
3046,"1,493",313,33.15%
3047,"1,770",408,38.98%
3048,"1,640",359,36.28%
3049,"2,112",529,42.76%
3050,"1,128",185,30.23%
3051,375,3,1.87%
3052,"4,844",580,20.23%
3053,"1,935",308,25.53%
3054,"1,672",290,28.35%
3056,"2,238",210,15.37%
3057,576,101,29.51%
3058,"3,570",320,15.13%
3059,"2,039",228,20.35%
3060,"1,947",303,27.99%
3061,"2,010",270,21.14%
3062,41,5,21.95%
3063,"1,920",300,29.22%
3064,407,70,37.35%
3065,61,4,8.20%
3066,"1,890",409,33.70%
3067,"1,545",200,20.39%
3068,"2,771",172,11.51%
3069,"3,114",653,33.72%
3070,"2,407",569,38.64%
3071,"2,607",448,24.43%
3073,"1,567",302,28.72%
3074,"2,560",484,36.37%
3075,"3,034",565,27.29%
3076,"1,328",328,36.22%
3077,"2,417",579,36.99%
