Precinct,Race,Candidate,Total Votes,Vote Percentage
4036,District 2,Jada Andrews-Sullivan,146.0,47.71
4036,District 2,Jalen McKee-Rodriguez,160.0,52.29
4037,District 2,Jada Andrews-Sullivan,78.0,61.42
4037,District 2,Jalen McKee-Rodriguez,49.0,38.58
4039,District 2,Jada Andrews-Sullivan,90.0,56.6
4039,District 2,Jalen McKee-Rodriguez,69.0,43.4
4040,District 2,Jada Andrews-Sullivan,65.0,50.39
4040,District 2,Jalen McKee-Rodriguez,64.0,49.61
4041,District 2,Jada Andrews-Sullivan,127.0,60.48
4041,District 2,Jalen McKee-Rodriguez,83.0,39.52
4042,District 2,Jada Andrews-Sullivan,2.0,40.0
4042,District 2,Jalen McKee-Rodriguez,3.0,60.0
4044,District 2,Jada Andrews-Sullivan,31.0,33.33
4044,District 2,Jalen McKee-Rodriguez,62.0,66.67
4045,District 2,Jada Andrews-Sullivan,52.0,23.96
4045,District 2,Jalen McKee-Rodriguez,165.0,76.04
4047,District 2,Jada Andrews-Sullivan,41.0,26.11
4047,District 2,Jalen McKee-Rodriguez,116.0,73.89
4048,District 3,Tomas Uresti,51.0,36.17
4048,District 3,Phyllis Viagran,90.0,63.83
4049,District 2,Jada Andrews-Sullivan,52.0,40.62
4049,District 2,Jalen McKee-Rodriguez,76.0,59.38
4062,District 3,Tomas Uresti,10.0,34.48
4062,District 3,Phyllis Viagran,19.0,65.52
4063,District 2,Jada Andrews-Sullivan,15.0,29.41
4063,District 2,Jalen McKee-Rodriguez,36.0,70.59
4065,District 2,Jada Andrews-Sullivan,74.0,41.11
4065,District 2,Jalen McKee-Rodriguez,106.0,58.89
4068,District 2,Jada Andrews-Sullivan,4.0,50.0
4068,District 2,Jalen McKee-Rodriguez,4.0,50.0
4070,District 2,Jada Andrews-Sullivan,126.0,42.71
4070,District 2,Jalen McKee-Rodriguez,169.0,57.29
4075,District 2,Jada Andrews-Sullivan,8.0,20.51
4075,District 2,Jalen McKee-Rodriguez,31.0,79.49
4076,District 2,Jada Andrews-Sullivan,51.0,34.93
4076,District 2,Jalen McKee-Rodriguez,95.0,65.07
4077,District 2,Jada Andrews-Sullivan,75.0,37.31
4077,District 2,Jalen McKee-Rodriguez,126.0,62.69
4082,District 2,Jada Andrews-Sullivan,50.0,48.54
4082,District 2,Jalen McKee-Rodriguez,53.0,51.46
4084,District 2,Jada Andrews-Sullivan,28.0,60.87
4084,District 2,Jalen McKee-Rodriguez,18.0,39.13
4091,District 2,Jada Andrews-Sullivan,22.0,25.29
4091,District 2,Jalen McKee-Rodriguez,65.0,74.71
4101,District 2,Jada Andrews-Sullivan 0 0,,
4101,District 2,Jalen McKee-Rodriguez 0 0,,
4102,District 2,Jada Andrews-Sullivan,4.0,11.76
4102,District 2,Jalen McKee-Rodriguez,30.0,88.24
4103,District 3,Tomas Uresti 0 0,,
4103,District 3,Phyllis Viagran 0 0,,
4106,District 2,Jada Andrews-Sullivan,11.0,50.0
4106,District 2,Jalen McKee-Rodriguez,11.0,50.0
4110,District 2,Jada Andrews-Sullivan,30.0,15.46
4110,District 2,Jalen McKee-Rodriguez,164.0,84.54
4111,District 2,Jada Andrews-Sullivan,9.0,90.0
4111,District 2,Jalen McKee-Rodriguez,1.0,10.0
4113,District 2,Jada Andrews-Sullivan,38.0,49.35
4113,District 2,Jalen McKee-Rodriguez,39.0,50.65
4117,District 2,Jada Andrews-Sullivan,21.0,32.81
4117,District 2,Jalen McKee-Rodriguez,43.0,67.19
4119,District 2,Jada Andrews-Sullivan,9.0,17.31
4119,District 2,Jalen McKee-Rodriguez,43.0,82.69
4120,District 2,Jada Andrews-Sullivan,14.0,77.78
4120,District 2,Jalen McKee-Rodriguez,4.0,22.22
4122,District 2,Jada Andrews-Sullivan,1.0,6.25
4122,District 2,Jalen McKee-Rodriguez,15.0,93.75
4123,District 2,Jada Andrews-Sullivan,5.0,27.78
4123,District 2,Jalen McKee-Rodriguez,13.0,72.22
4124,District 3,Tomas Uresti,39.0,33.05
4124,District 3,Phyllis Viagran,79.0,66.95
4125,District 2,Jada Andrews-Sullivan,1.0,33.33
4125,District 2,Jalen McKee-Rodriguez,2.0,66.67
4127,District 2,Jada Andrews-Sullivan 0 0,,
4127,District 2,Jalen McKee-Rodriguez 0 0,,
4128,District 2,Jada Andrews-Sullivan,10.0,33.33
