Precinct,Race,Candidate,Total Votes
1070,For Mayor City of San Antonio,Armando Dominguez,2
1070,For Mayor City of San Antonio,Michael Idrogo,4
1070,For Mayor City of San Antonio,Gary Allen,2
1070,For Mayor City of San Antonio,Michael Samaniego,6
1070,For Mayor City of San Antonio,Diana Flores Uriegas,6
1070,"For Council, City of San Antonio, District 4",Vote,For
1070,"For Council, City of San Antonio, District 4",TOTAL,VOTE
1070,"For Council, City of San Antonio, District 4",Adriana Rocha Garcia,66
1070,"For Council, City of San Antonio, District 4",Gregorio De La Paz,25
1071,For Mayor City of San Antonio,Vote,For
1071,For Mayor City of San Antonio,TOTAL,VOTE
1071,For Mayor City of San Antonio,Ray Adam Basaldua,7
1071,For Mayor City of San Antonio,Christopher T. Schuchardt,31
1071,For Mayor City of San Antonio,Christopher Longoria,4
1071,For Mayor City of San Antonio,Ron Nirenberg,134
1071,For Mayor City of San Antonio,Armando Dominguez,2
1071,For Mayor City of San Antonio,Michael Idrogo,2
1071,For Mayor City of San Antonio,Gary Allen,8
1071,For Mayor City of San Antonio,Michael Samaniego,2
1071,For Mayor City of San Antonio,Diana Flores Uriegas,8
1071,"For Council, City of San Antonio, District 4",Vote,For
1071,"For Council, City of San Antonio, District 4",TOTAL,VOTE
1071,"For Council, City of San Antonio, District 4",Adriana Rocha Garcia,129
1071,"For Council, City of San Antonio, District 4",Gregorio De La Paz,41
1072,For Mayor City of San Antonio,Vote,For
1072,For Mayor City of San Antonio,TOTAL,VOTE
1072,For Mayor City of San Antonio,Ray Adam Basaldua,2
1072,For Mayor City of San Antonio,Christopher T. Schuchardt,26
1072,For Mayor City of San Antonio,Christopher Longoria,3
1072,For Mayor City of San Antonio,Ron Nirenberg,145
1072,For Mayor City of San Antonio,Armando Dominguez,4
1072,For Mayor City of San Antonio,Michael Idrogo,4
1072,For Mayor City of San Antonio,Gary Allen,13
1072,For Mayor City of San Antonio,Michael Samaniego,4
1072,For Mayor City of San Antonio,Diana Flores Uriegas,10
1072,"For Council, City of San Antonio, District 6",Vote,For
1072,"For Council, City of San Antonio, District 6",TOTAL,VOTE
1072,"For Council, City of San Antonio, District 6",Irina Rudolph,61
1072,"For Council, City of San Antonio, District 6",Melissa Cabello Havrda,125
1072,"For Council, City of San Antonio, District 6",Chris Baecker,18
1074,For Mayor City of San Antonio,Vote,For
1074,For Mayor City of San Antonio,TOTAL,VOTE
1074,For Mayor City of San Antonio,Ray Adam Basaldua,0
1074,For Mayor City of San Antonio,Christopher T. Schuchardt,0
1074,For Mayor City of San Antonio,Christopher Longoria,0
1074,For Mayor City of San Antonio,Ron Nirenberg,2
1074,For Mayor City of San Antonio,Armando Dominguez,0
1074,For Mayor City of San Antonio,Michael Idrogo,0
1074,For Mayor City of San Antonio,Gary Allen,0
1074,For Mayor City of San Antonio,Michael Samaniego,0
1074,For Mayor City of San Antonio,Diana Flores Uriegas,0
1074,"For Council, City of San Antonio, District 5",Vote,For
1074,"For Council, City of San Antonio, District 5",TOTAL,VOTE
1074,"For Council, City of San Antonio, District 5",Arturo Espinosa,1
1074,"For Council, City of San Antonio, District 5",Teri Castillo,2
1074,"For Council, City of San Antonio, District 5",Rudy Lopez,0
1075,For Mayor City of San Antonio,Vote,For
1075,For Mayor City of San Antonio,TOTAL,VOTE
1075,For Mayor City of San Antonio,Ray Adam Basaldua,5
1075,For Mayor City of San Antonio,Christopher T. Schuchardt,33
1075,For Mayor City of San Antonio,Christopher Longoria,9
1075,For Mayor City of San Antonio,Ron Nirenberg,105
1075,For Mayor City of San Antonio,Armando Dominguez,2
1075,For Mayor City of San Antonio,Michael Idrogo,1
1075,For Mayor City of San Antonio,Gary Allen,8
1075,For Mayor City of San Antonio,Michael Samaniego,1
1075,For Mayor City of San Antonio,Diana Flores Uriegas,9
1075,"For Council, City of San Antonio, District 4",Vote,For
1075,"For Council, City of San Antonio, District 4",TOTAL,VOTE
1075,"For Council, City of San Antonio, District 4",Adriana Rocha Garcia,123
1075,"For Council, City of San Antonio, District 4",Gregorio De La Paz,38
1076,For Mayor City of San Antonio,Vote,For
1076,For Mayor City of San Antonio,TOTAL,VOTE
1076,For Mayor City of San Antonio,Ray Adam Basaldua,12
1076,For Mayor City of San Antonio,Christopher T. Schuchardt,67
1076,For Mayor City of San Antonio,Christopher Longoria,12
1076,For Mayor City of San Antonio,Ron Nirenberg,186
1076,For Mayor City of San Antonio,Armando Dominguez,1
1076,For Mayor City of San Antonio,Michael Idrogo,1
1076,For Mayor City of San Antonio,Gary Allen,26
1076,For Mayor City of San Antonio,Michael Samaniego,16
1076,For Mayor City of San Antonio,Diana Flores Uriegas,9
1076,"For Council, City of San Antonio, District 4",Vote,For
1076,"For Council, City of San Antonio, District 4",TOTAL,VOTE
1076,"For Council, City of San Antonio, District 4",Adriana Rocha Garcia,201
1076,"For Council, City of San Antonio, District 4",Gregorio De La Paz,83
1077,For Mayor City of San Antonio,Vote,For
1077,For Mayor City of San Antonio,TOTAL,VOTE
1077,For Mayor City of San Antonio,Ray Adam Basaldua,2
1077,For Mayor City of San Antonio,Christopher T. Schuchardt,12
1077,For Mayor City of San Antonio,Christopher Longoria,1
1077,For Mayor City of San Antonio,Ron Nirenberg,156
1077,For Mayor City of San Antonio,Armando Dominguez,3
1077,For Mayor City of San Antonio,Michael Idrogo,0
1077,For Mayor City of San Antonio,Gary Allen,2
1077,For Mayor City of San Antonio,Michael Samaniego,1
1077,For Mayor City of San Antonio,Diana Flores Uriegas,7
1077,"For Council, City of San Antonio, District 5",Vote,For
1077,"For Council, City of San Antonio, District 5",TOTAL,VOTE
1077,"For Council, City of San Antonio, District 5",Arturo Espinosa,10
1077,"For Council, City of San Antonio, District 5",Teri Castillo,119
1077,"For Council, City of San Antonio, District 5",Rudy Lopez,51
1078,For Mayor City of San Antonio,Vote,For
1078,For Mayor City of San Antonio,TOTAL,VOTE
1078,For Mayor City of San Antonio,Ray Adam Basaldua,0
1078,For Mayor City of San Antonio,Christopher T. Schuchardt,0
1078,For Mayor City of San Antonio,Christopher Longoria,2
1078,For Mayor City of San Antonio,Ron Nirenberg,42
1078,For Mayor City of San Antonio,Armando Dominguez,2
1078,For Mayor City of San Antonio,Michael Idrogo,0
1078,For Mayor City of San Antonio,Gary Allen,2
1078,For Mayor City of San Antonio,Michael Samaniego,1
1078,For Mayor City of San Antonio,Diana Flores Uriegas,5
1078,"For Council, City of San Antonio, District 5",Vote,For
1078,"For Council, City of San Antonio, District 5",TOTAL,VOTE
1078,"For Council, City of San Antonio, District 5",Arturo Espinosa,4
1078,"For Council, City of San Antonio, District 5",Teri Castillo,28
1078,"For Council, City of San Antonio, District 5",Rudy Lopez,20
1079,For Mayor City of San Antonio,Vote,For
1079,For Mayor City of San Antonio,TOTAL,VOTE
1079,For Mayor City of San Antonio,Ray Adam Basaldua,6
1079,For Mayor City of San Antonio,Christopher T. Schuchardt,57
1079,For Mayor City of San Antonio,Christopher Longoria,7
1079,For Mayor City of San Antonio,Ron Nirenberg,207
1079,For Mayor City of San Antonio,Armando Dominguez,4
1079,For Mayor City of San Antonio,Michael Idrogo,4
1079,For Mayor City of San Antonio,Gary Allen,16
1079,For Mayor City of San Antonio,Michael Samaniego,12
1079,For Mayor City of San Antonio,Diana Flores Uriegas,14
1079,"For Council, City of San Antonio, District 4",Vote,For
1079,"For Council, City of San Antonio, District 4",TOTAL,VOTE
1079,"For Council, City of San Antonio, District 4",Adriana Rocha Garcia,222
1079,"For Council, City of San Antonio, District 4",Gregorio De La Paz,62
1080,For Mayor City of San Antonio,Vote,For
1080,For Mayor City of San Antonio,TOTAL,VOTE
1080,For Mayor City of San Antonio,Ray Adam Basaldua,2
1080,For Mayor City of San Antonio,Christopher T. Schuchardt,19
1080,For Mayor City of San Antonio,Christopher Longoria,13
1080,For Mayor City of San Antonio,Ron Nirenberg,106
1080,For Mayor City of San Antonio,Armando Dominguez,3
1080,For Mayor City of San Antonio,Michael Idrogo,1
1080,For Mayor City of San Antonio,Gary Allen,13
1080,For Mayor City of San Antonio,Michael Samaniego,4
1080,For Mayor City of San Antonio,Diana Flores Uriegas,5
1080,"For Council, City of San Antonio, District 6",Vote,For
1080,"For Council, City of San Antonio, District 6",TOTAL,VOTE
1080,"For Council, City of San Antonio, District 6",Irina Rudolph,43
1080,"For Council, City of San Antonio, District 6",Melissa Cabello Havrda,74
1080,"For Council, City of San Antonio, District 6",Chris Baecker,26
1083,For Mayor City of San Antonio,Vote,For
1083,For Mayor City of San Antonio,TOTAL,VOTE
1083,For Mayor City of San Antonio,Ray Adam Basaldua,7
1083,For Mayor City of San Antonio,Christopher T. Schuchardt,80
1083,For Mayor City of San Antonio,Christopher Longoria,10
1083,For Mayor City of San Antonio,Ron Nirenberg,295
1083,For Mayor City of San Antonio,Armando Dominguez,3
1083,For Mayor City of San Antonio,Michael Idrogo,2
1083,For Mayor City of San Antonio,Gary Allen,22
1083,For Mayor City of San Antonio,Michael Samaniego,11
1083,For Mayor City of San Antonio,Diana Flores Uriegas,18
1083,"For Council, City of San Antonio, District 4",Vote,For
1083,"For Council, City of San Antonio, District 4",TOTAL,VOTE
1083,"For Council, City of San Antonio, District 4",Adriana Rocha Garcia,292
1083,"For Council, City of San Antonio, District 4",Gregorio De La Paz,84
1084,For Mayor City of San Antonio,Vote,For
1084,For Mayor City of San Antonio,TOTAL,VOTE
1084,For Mayor City of San Antonio,Ray Adam Basaldua,9
1084,For Mayor City of San Antonio,Christopher T. Schuchardt,30
1084,For Mayor City of San Antonio,Christopher Longoria,7
1084,For Mayor City of San Antonio,Ron Nirenberg,108
1084,For Mayor City of San Antonio,Armando Dominguez,6
1084,For Mayor City of San Antonio,Michael Idrogo,2
1084,For Mayor City of San Antonio,Gary Allen,14
1084,For Mayor City of San Antonio,Michael Samaniego,10
1084,For Mayor City of San Antonio,Diana Flores Uriegas,11
1084,"For Council, City of San Antonio, District 6",Vote,For
1084,"For Council, City of San Antonio, District 6",TOTAL,VOTE
1084,"For Council, City of San Antonio, District 6",Irina Rudolph,55
1084,"For Council, City of San Antonio, District 6",Melissa Cabello Havrda,93
1084,"For Council, City of San Antonio, District 6",Chris Baecker,31
1085,For Mayor City of San Antonio,Vote,For
1085,For Mayor City of San Antonio,TOTAL,VOTE
1085,For Mayor City of San Antonio,Ray Adam Basaldua,6
1085,For Mayor City of San Antonio,Christopher T. Schuchardt,27
1085,For Mayor City of San Antonio,Christopher Longoria,2
1085,For Mayor City of San Antonio,Ron Nirenberg,103
1085,For Mayor City of San Antonio,Armando Dominguez,4
1085,For Mayor City of San Antonio,Michael Idrogo,1
1085,For Mayor City of San Antonio,Gary Allen,10
1085,For Mayor City of San Antonio,Michael Samaniego,0
1085,For Mayor City of San Antonio,Diana Flores Uriegas,9
1085,"For Council, City of San Antonio, District 4",Vote,For
1085,"For Council, City of San Antonio, District 4",TOTAL,VOTE
1085,"For Council, City of San Antonio, District 4",Adriana Rocha Garcia,116
1085,"For Council, City of San Antonio, District 4",Gregorio De La Paz,27
1086,For Mayor City of San Antonio,Vote,For
1086,For Mayor City of San Antonio,TOTAL,VOTE
1086,For Mayor City of San Antonio,Ray Adam Basaldua,4
1086,For Mayor City of San Antonio,Christopher T. Schuchardt,47
1086,For Mayor City of San Antonio,Christopher Longoria,12
1086,For Mayor City of San Antonio,Ron Nirenberg,224
1086,For Mayor City of San Antonio,Armando Dominguez,4
1086,For Mayor City of San Antonio,Michael Idrogo,6
1086,For Mayor City of San Antonio,Gary Allen,17
1086,For Mayor City of San Antonio,Michael Samaniego,12
1086,For Mayor City of San Antonio,Diana Flores Uriegas,12
1086,"For Council, City of San Antonio, District 6",Vote,For
1086,"For Council, City of San Antonio, District 6",TOTAL,VOTE
1086,"For Council, City of San Antonio, District 6",Irina Rudolph,85
1086,"For Council, City of San Antonio, District 6",Melissa Cabello Havrda,202
1086,"For Council, City of San Antonio, District 6",Chris Baecker,31
1087,For Mayor City of San Antonio,Vote,For
1087,For Mayor City of San Antonio,TOTAL,VOTE
1087,For Mayor City of San Antonio,Ray Adam Basaldua,5
1087,For Mayor City of San Antonio,Christopher T. Schuchardt,18
1087,For Mayor City of San Antonio,Christopher Longoria,8
1087,For Mayor City of San Antonio,Ron Nirenberg,113
1087,For Mayor City of San Antonio,Armando Dominguez,1
1087,For Mayor City of San Antonio,Michael Idrogo,1
1087,For Mayor City of San Antonio,Gary Allen,6
1087,For Mayor City of San Antonio,Michael Samaniego,2
1087,For Mayor City of San Antonio,Diana Flores Uriegas,4
1087,"For Council, City of San Antonio, District 6",Vote,For
1087,"For Council, City of San Antonio, District 6",TOTAL,VOTE
1087,"For Council, City of San Antonio, District 6",Irina Rudolph,38
1087,"For Council, City of San Antonio, District 6",Melissa Cabello Havrda,96
1087,"For Council, City of San Antonio, District 6",Chris Baecker,19
1088,For Mayor City of San Antonio,Vote,For
1088,For Mayor City of San Antonio,TOTAL,VOTE
1088,For Mayor City of San Antonio,Ray Adam Basaldua,1
1088,For Mayor City of San Antonio,Christopher T. Schuchardt,14
1088,For Mayor City of San Antonio,Christopher Longoria,1
1088,For Mayor City of San Antonio,Ron Nirenberg,54
1088,For Mayor City of San Antonio,Armando Dominguez,4
1088,For Mayor City of San Antonio,Michael Idrogo,0
1088,For Mayor City of San Antonio,Gary Allen,6
1088,For Mayor City of San Antonio,Michael Samaniego,1
1088,For Mayor City of San Antonio,Diana Flores Uriegas,0
1088,"For Council, City of San Antonio, District 5",Vote,For
1088,"For Council, City of San Antonio, District 5",TOTAL,VOTE
1088,"For Council, City of San Antonio, District 5",Arturo Espinosa,2
1088,"For Council, City of San Antonio, District 5",Teri Castillo,40
1088,"For Council, City of San Antonio, District 5",Rudy Lopez,33
1089,For Mayor City of San Antonio,Vote,For
1089,For Mayor City of San Antonio,TOTAL,VOTE
1089,For Mayor City of San Antonio,Ray Adam Basaldua,1
1089,For Mayor City of San Antonio,Christopher T. Schuchardt,0
1089,For Mayor City of San Antonio,Christopher Longoria,0
1089,For Mayor City of San Antonio,Ron Nirenberg,8
1089,For Mayor City of San Antonio,Armando Dominguez,0
1089,For Mayor City of San Antonio,Michael Idrogo,0
1089,For Mayor City of San Antonio,Gary Allen,0
1089,For Mayor City of San Antonio,Michael Samaniego,0
1089,For Mayor City of San Antonio,Diana Flores Uriegas,1
1089,"For Council, City of San Antonio, District 3",Vote,For
1089,"For Council, City of San Antonio, District 3",TOTAL,VOTE
1089,"For Council, City of San Antonio, District 3",Jayden Muñoz,1
1089,"For Council, City of San Antonio, District 3",Phyllis Viagran,7
1089,"For Council, City of San Antonio, District 3",Erin Gallegos Reid,2
1089,"For Council, City of San Antonio, District 3",Larry La Rose,0
1090,For Mayor City of San Antonio,Vote,For
1090,For Mayor City of San Antonio,TOTAL,VOTE
1090,For Mayor City of San Antonio,Ray Adam,Basaldua
1090,For Mayor City of San Antonio,Christopher T.,Schuchardt
1090,For Mayor City of San Antonio,Christopher,Longoria
1090,For Mayor City of San Antonio,Ron,Nirenberg
1090,For Mayor City of San Antonio,Armando,Dominguez
1090,For Mayor City of San Antonio,Michael,Idrogo
1090,For Mayor City of San Antonio,Gary,Allen
1090,For Mayor City of San Antonio,Michael,Samaniego
1090,For Mayor City of San Antonio,Diana Flores,Uriegas
1090,"For Council, City of San Antonio, District 4",Vote,For
1090,"For Council, City of San Antonio, District 4",TOTAL,VOTE
1090,"For Council, City of San Antonio, District 4",Adriana Rocha,Garcia
1090,"For Council, City of San Antonio, District 4",Gregorio De La,Paz
1091,For Mayor City of San Antonio,Vote,For
1091,For Mayor City of San Antonio,TOTAL,VOTE
1091,For Mayor City of San Antonio,Ray Adam Basaldua,4
1091,For Mayor City of San Antonio,Christopher T. Schuchardt,74
1091,For Mayor City of San Antonio,Christopher Longoria,10
1091,For Mayor City of San Antonio,Ron Nirenberg,193
1091,For Mayor City of San Antonio,Armando Dominguez,4
1091,For Mayor City of San Antonio,Michael Idrogo,1
1091,For Mayor City of San Antonio,Gary Allen,6
1091,For Mayor City of San Antonio,Michael Samaniego,9
1091,For Mayor City of San Antonio,Diana Flores Uriegas,22
1091,"For Council, City of San Antonio, District 3",Vote,For
1091,"For Council, City of San Antonio, District 3",TOTAL,VOTE
1091,"For Council, City of San Antonio, District 3",Jayden Muñoz,55
1091,"For Council, City of San Antonio, District 3",Phyllis Viagran,149
1091,"For Council, City of San Antonio, District 3",Erin Gallegos Reid,71
1091,"For Council, City of San Antonio, District 3",Larry La Rose,43
1092,For Mayor City of San Antonio,Vote,For
1092,For Mayor City of San Antonio,TOTAL,VOTE
1092,For Mayor City of San Antonio,Ray Adam Basaldua,4
1092,For Mayor City of San Antonio,Christopher T. Schuchardt,8
1092,For Mayor City of San Antonio,Christopher Longoria,5
1092,For Mayor City of San Antonio,Ron Nirenberg,94
1092,For Mayor City of San Antonio,Armando Dominguez,1
1092,For Mayor City of San Antonio,Michael Idrogo,0
1092,For Mayor City of San Antonio,Gary Allen,3
1092,For Mayor City of San Antonio,Michael Samaniego,5
1092,For Mayor City of San Antonio,Diana Flores Uriegas,5
1092,"For Council, City of San Antonio, District 4",Vote,For
1092,"For Council, City of San Antonio, District 4",TOTAL,VOTE
1092,"For Council, City of San Antonio, District 4",Adriana Rocha Garcia,92
1092,"For Council, City of San Antonio, District 4",Gregorio De La Paz,23
1093,For Mayor City of San Antonio,Vote,For
1093,For Mayor City of San Antonio,TOTAL,VOTE
1093,For Mayor City of San Antonio,Ray Adam Basaldua,5
1093,For Mayor City of San Antonio,Christopher T. Schuchardt,17
1093,For Mayor City of San Antonio,Christopher Longoria,5
1093,For Mayor City of San Antonio,Ron Nirenberg,91
1093,For Mayor City of San Antonio,Armando Dominguez,0
1093,For Mayor City of San Antonio,Michael Idrogo,0
1093,For Mayor City of San Antonio,Gary Allen,9
1093,For Mayor City of San Antonio,Michael Samaniego,10
1093,For Mayor City of San Antonio,Diana Flores Uriegas,5
1093,"For Council, City of San Antonio, District 6",Vote,For
1093,"For Council, City of San Antonio, District 6",TOTAL,VOTE
1093,"For Council, City of San Antonio, District 6",Irina Rudolph,50
1093,"For Council, City of San Antonio, District 6",Melissa Cabello Havrda,65
1093,"For Council, City of San Antonio, District 6",Chris Baecker,21
1094,For Mayor City of San Antonio,Vote,For
1094,For Mayor City of San Antonio,TOTAL,VOTE
1094,For Mayor City of San Antonio,Ray Adam Basaldua,5
1094,For Mayor City of San Antonio,Christopher T. Schuchardt,15
1094,For Mayor City of San Antonio,Christopher Longoria,11
1094,For Mayor City of San Antonio,Ron Nirenberg,173
1094,For Mayor City of San Antonio,Armando Dominguez,7
1094,For Mayor City of San Antonio,Michael Idrogo,1
1094,For Mayor City of San Antonio,Gary Allen,19
1094,For Mayor City of San Antonio,Michael Samaniego,5
1094,For Mayor City of San Antonio,Diana Flores Uriegas,8
1094,"For Council, City of San Antonio, District 4",Vote,For
1094,"For Council, City of San Antonio, District 4",TOTAL,VOTE
1094,"For Council, City of San Antonio, District 4",Adriana Rocha Garcia,177
1094,"For Council, City of San Antonio, District 4",Gregorio De La Paz,45
1096,For Mayor City of San Antonio,Vote,For
1096,For Mayor City of San Antonio,TOTAL,VOTE
1096,For Mayor City of San Antonio,Ray Adam Basaldua,1
1096,For Mayor City of San Antonio,Christopher T. Schuchardt,0
1096,For Mayor City of San Antonio,Christopher Longoria,0
1096,For Mayor City of San Antonio,Ron Nirenberg,10
1096,For Mayor City of San Antonio,Armando Dominguez,0
1096,For Mayor City of San Antonio,Michael Idrogo,0
1096,For Mayor City of San Antonio,Gary Allen,1
1096,For Mayor City of San Antonio,Michael Samaniego,1
1096,For Mayor City of San Antonio,Diana Flores Uriegas,0
1096,"For Council, City of San Antonio, District 4",Vote,For
1096,"For Council, City of San Antonio, District 4",TOTAL,VOTE
1096,"For Council, City of San Antonio, District 4",Adriana Rocha Garcia,10
1096,"For Council, City of San Antonio, District 4",Gregorio De La Paz,1
1097,For Mayor City of San Antonio,Vote,For
1097,For Mayor City of San Antonio,TOTAL,VOTE
1097,For Mayor City of San Antonio,Ray Adam Basaldua,2
1097,For Mayor City of San Antonio,Christopher T. Schuchardt,11
1097,For Mayor City of San Antonio,Christopher Longoria,3
1097,For Mayor City of San Antonio,Ron Nirenberg,56
1097,For Mayor City of San Antonio,Armando Dominguez,1
1097,For Mayor City of San Antonio,Michael Idrogo,0
1097,For Mayor City of San Antonio,Gary Allen,2
1097,For Mayor City of San Antonio,Michael Samaniego,1
1097,For Mayor City of San Antonio,Diana Flores Uriegas,3
1097,"For Council, City of San Antonio, District 5",Vote,For
1097,"For Council, City of San Antonio, District 5",TOTAL,VOTE
1097,"For Council, City of San Antonio, District 5",Arturo Espinosa,8
1097,"For Council, City of San Antonio, District 5",Teri Castillo,46
1097,"For Council, City of San Antonio, District 5",Rudy Lopez,23
1098,For Mayor City of San Antonio,Vote,For
1098,For Mayor City of San Antonio,TOTAL,VOTE
1098,For Mayor City of San Antonio,Ray Adam Basaldua,1
1098,For Mayor City of San Antonio,Christopher T. Schuchardt,18
1098,For Mayor City of San Antonio,Christopher Longoria,3
1098,For Mayor City of San Antonio,Ron Nirenberg,145
1098,For Mayor City of San Antonio,Armando Dominguez,1
1098,For Mayor City of San Antonio,Michael Idrogo,0
1098,For Mayor City of San Antonio,Gary Allen,3
1098,For Mayor City of San Antonio,Michael Samaniego,5
1098,For Mayor City of San Antonio,Diana Flores Uriegas,13
1098,"For Council, City of San Antonio, District 5",Vote,For
1098,"For Council, City of San Antonio, District 5",TOTAL,VOTE
1098,"For Council, City of San Antonio, District 5",Arturo Espinosa,15
1098,"For Council, City of San Antonio, District 5",Teri Castillo,124
1098,"For Council, City of San Antonio, District 5",Rudy Lopez,41
1099,For Mayor City of San Antonio,Vote,For
1099,For Mayor City of San Antonio,TOTAL,VOTE
1099,For Mayor City of San Antonio,Ray Adam Basaldua,5
1099,For Mayor City of San Antonio,Christopher T. Schuchardt,66
1099,For Mayor City of San Antonio,Christopher Longoria,10
1099,For Mayor City of San Antonio,Ron Nirenberg,300
1099,For Mayor City of San Antonio,Armando Dominguez,3
1099,For Mayor City of San Antonio,Michael Idrogo,5
1099,For Mayor City of San Antonio,Gary Allen,27
1099,For Mayor City of San Antonio,Michael Samaniego,17
1099,For Mayor City of San Antonio,Diana Flores Uriegas,18
1099,"For Council, City of San Antonio, District 6",Vote,For
1099,"For Council, City of San Antonio, District 6",TOTAL,VOTE
1099,"For Council, City of San Antonio, District 6",Irina Rudolph,131
1099,"For Council, City of San Antonio, District 6",Melissa Cabello Havrda,246
1099,"For Council, City of San Antonio, District 6",Chris Baecker,55
1100,For Mayor City of San Antonio,Vote,For
1100,For Mayor City of San Antonio,TOTAL,VOTE
1100,For Mayor City of San Antonio,Ray Adam Basaldua,8
1100,For Mayor City of San Antonio,Christopher T. Schuchardt,61
1100,For Mayor City of San Antonio,Christopher Longoria,11
1100,For Mayor City of San Antonio,Ron Nirenberg,202
1100,For Mayor City of San Antonio,Armando Dominguez,6
1100,For Mayor City of San Antonio,Michael Idrogo,0
1100,For Mayor City of San Antonio,Gary Allen,25
1100,For Mayor City of San Antonio,Michael Samaniego,15
1100,For Mayor City of San Antonio,Diana Flores Uriegas,13
1100,"For Council, City of San Antonio, District 4",Vote,For
1100,"For Council, City of San Antonio, District 4",TOTAL,VOTE
1100,"For Council, City of San Antonio, District 4",Adriana Rocha Garcia,211
1100,"For Council, City of San Antonio, District 4",Gregorio De La Paz,80
1101,For Mayor City of San Antonio,Vote,For
1101,For Mayor City of San Antonio,TOTAL,VOTE
1101,For Mayor City of San Antonio,Ray Adam,Basaldua
1101,For Mayor City of San Antonio,Christopher T.,Schuchardt
1101,For Mayor City of San Antonio,Christopher,Longoria
1101,For Mayor City of San Antonio,Ron,Nirenberg
1101,For Mayor City of San Antonio,Armando,Dominguez
1101,For Mayor City of San Antonio,Michael,Idrogo
1101,For Mayor City of San Antonio,Gary,Allen
1101,For Mayor City of San Antonio,Michael,Samaniego
1101,For Mayor City of San Antonio,Diana Flores,Uriegas
1101,"For Council, City of San Antonio, District 4",Vote,For
1101,"For Council, City of San Antonio, District 4",TOTAL,VOTE
1101,"For Council, City of San Antonio, District 4",Adriana Rocha,Garcia
1101,"For Council, City of San Antonio, District 4",Gregorio De La,Paz
1102,For Mayor City of San Antonio,Vote,For
1102,For Mayor City of San Antonio,TOTAL,VOTE
1102,For Mayor City of San Antonio,Ray Adam Basaldua,0
1102,For Mayor City of San Antonio,Christopher T. Schuchardt,0
1102,For Mayor City of San Antonio,Christopher Longoria,0
1102,For Mayor City of San Antonio,Ron Nirenberg,4
1102,For Mayor City of San Antonio,Armando Dominguez,0
1102,For Mayor City of San Antonio,Michael Idrogo,0
1102,For Mayor City of San Antonio,Gary Allen,2
1102,For Mayor City of San Antonio,Michael Samaniego,0
1102,For Mayor City of San Antonio,Diana Flores Uriegas,0
1102,"For Council, City of San Antonio, District 3",Vote,For
1102,"For Council, City of San Antonio, District 3",TOTAL,VOTE
1102,"For Council, City of San Antonio, District 3",Jayden Muñoz,0
1102,"For Council, City of San Antonio, District 3",Phyllis Viagran,3
1102,"For Council, City of San Antonio, District 3",Erin Gallegos Reid,1
1102,"For Council, City of San Antonio, District 3",Larry La Rose,1
1104,For Mayor City of San Antonio,Vote,For
1104,For Mayor City of San Antonio,TOTAL,VOTE
1104,For Mayor City of San Antonio,Ray Adam Basaldua,15
1104,For Mayor City of San Antonio,Christopher T. Schuchardt,107
1104,For Mayor City of San Antonio,Christopher Longoria,16
1104,For Mayor City of San Antonio,Ron Nirenberg,379
1104,For Mayor City of San Antonio,Armando Dominguez,7
1104,For Mayor City of San Antonio,Michael Idrogo,2
1104,For Mayor City of San Antonio,Gary Allen,32
1104,For Mayor City of San Antonio,Michael Samaniego,25
1104,For Mayor City of San Antonio,Diana Flores Uriegas,18
1104,"For Council, City of San Antonio, District 6",Vote,For
1104,"For Council, City of San Antonio, District 6",TOTAL,VOTE
1104,"For Council, City of San Antonio, District 6",Irina Rudolph,197
1104,"For Council, City of San Antonio, District 6",Melissa Cabello Havrda,323
1104,"For Council, City of San Antonio, District 6",Chris Baecker,57
1105,For Mayor City of San Antonio,Vote,For
1105,For Mayor City of San Antonio,TOTAL,VOTE
1105,For Mayor City of San Antonio,Ray Adam Basaldua,1
1105,For Mayor City of San Antonio,Christopher T. Schuchardt,11
1105,For Mayor City of San Antonio,Christopher Longoria,4
1105,For Mayor City of San Antonio,Ron Nirenberg,37
1105,For Mayor City of San Antonio,Armando Dominguez,0
1105,For Mayor City of San Antonio,Michael Idrogo,0
1105,For Mayor City of San Antonio,Gary Allen,3
1105,For Mayor City of San Antonio,Michael Samaniego,3
1105,For Mayor City of San Antonio,Diana Flores Uriegas,6
1105,"For Council, City of San Antonio, District 4",Vote,For
1105,"For Council, City of San Antonio, District 4",TOTAL,VOTE
1105,"For Council, City of San Antonio, District 4",Adriana Rocha Garcia,37
1105,"For Council, City of San Antonio, District 4",Gregorio De La Paz,15
1106,For Mayor City of San Antonio,Vote,For
1106,For Mayor City of San Antonio,TOTAL,VOTE
1106,For Mayor City of San Antonio,Ray Adam,Basaldua
1106,For Mayor City of San Antonio,Christopher T.,Schuchardt
1106,For Mayor City of San Antonio,Christopher,Longoria
1106,For Mayor City of San Antonio,Ron,Nirenberg
1106,For Mayor City of San Antonio,Armando,Dominguez
1106,For Mayor City of San Antonio,Michael,Idrogo
1106,For Mayor City of San Antonio,Gary,Allen
1106,For Mayor City of San Antonio,Michael,Samaniego
1106,For Mayor City of San Antonio,Diana Flores,Uriegas
1106,"For Council, City of San Antonio, District 4",Vote,For
1106,"For Council, City of San Antonio, District 4",TOTAL,VOTE
1106,"For Council, City of San Antonio, District 4",Adriana Rocha,Garcia
