Precinct,Race,Candidate,Total Votes
1007,"For Council, City of San Antonio, District 5",TOTAL,VOTE
1007,"For Council, City of San Antonio, District 5",Arturo Espinosa,11
1007,"For Council, City of San Antonio, District 5",Teri Castillo,82
1007,"For Council, City of San Antonio, District 5",Rudy Lopez,70
1008,For Mayor City of San Antonio,Vote,For
1008,For Mayor City of San Antonio,TOTAL,VOTE
1008,For Mayor City of San Antonio,Ray Adam Basaldua,1
1008,For Mayor City of San Antonio,Christopher T. Schuchardt,31
1008,For Mayor City of San Antonio,Christopher Longoria,9
1008,For Mayor City of San Antonio,Ron Nirenberg,393
1008,For Mayor City of San Antonio,Armando Dominguez,2
1008,For Mayor City of San Antonio,Michael Idrogo,2
1008,For Mayor City of San Antonio,Gary Allen,11
1008,For Mayor City of San Antonio,Michael Samaniego,5
1008,For Mayor City of San Antonio,Diana Flores Uriegas,24
1008,"For Council, City of San Antonio, District 1",Vote,For
1008,"For Council, City of San Antonio, District 1",TOTAL,VOTE
1008,"For Council, City of San Antonio, District 1",Jeremy Roberts,56
1008,"For Council, City of San Antonio, District 1",Roberto Rios Ortega,18
1008,"For Council, City of San Antonio, District 1",Sukh Kaur,198
1008,"For Council, City of San Antonio, District 1",Ernest Salinas,15
1008,"For Council, City of San Antonio, District 1",Lauro Bustamante,11
1008,"For Council, City of San Antonio, District 1",Mario Bravo,161
1008,"For Council, City of San Antonio, District 1",William T. Lamar-Boone,4
1010,For Mayor City of San Antonio,Vote,For
1010,For Mayor City of San Antonio,TOTAL,VOTE
1010,For Mayor City of San Antonio,Ray Adam Basaldua,1
1010,For Mayor City of San Antonio,Christopher T. Schuchardt,7
1010,For Mayor City of San Antonio,Christopher Longoria,4
1010,For Mayor City of San Antonio,Ron Nirenberg,100
1010,For Mayor City of San Antonio,Armando Dominguez,1
1010,For Mayor City of San Antonio,Michael Idrogo,1
1010,For Mayor City of San Antonio,Gary Allen,4
1010,For Mayor City of San Antonio,Michael Samaniego,3
1010,For Mayor City of San Antonio,Diana Flores Uriegas,7
1010,"For Council, City of San Antonio, District 5",Vote,For
1010,"For Council, City of San Antonio, District 5",TOTAL,VOTE
1010,"For Council, City of San Antonio, District 5",Arturo Espinosa,4
1010,"For Council, City of San Antonio, District 5",Teri Castillo,105
1010,"For Council, City of San Antonio, District 5",Rudy Lopez,19
1011,For Mayor City of San Antonio,Vote,For
1011,For Mayor City of San Antonio,TOTAL,VOTE
1011,For Mayor City of San Antonio,Ray Adam Basaldua,2
1011,For Mayor City of San Antonio,Christopher T. Schuchardt,13
1011,For Mayor City of San Antonio,Christopher Longoria,6
1011,For Mayor City of San Antonio,Ron Nirenberg,77
1011,For Mayor City of San Antonio,Armando Dominguez,1
1011,For Mayor City of San Antonio,Michael Idrogo,1
1011,For Mayor City of San Antonio,Gary Allen,1
1011,For Mayor City of San Antonio,Michael Samaniego,3
1011,For Mayor City of San Antonio,Diana Flores Uriegas,5
1011,"For Council, City of San Antonio, District 3",Vote,For
1011,"For Council, City of San Antonio, District 3",TOTAL,VOTE
1011,"For Council, City of San Antonio, District 3",Jayden Muñoz,18
1011,"For Council, City of San Antonio, District 3",Phyllis Viagran,60
1011,"For Council, City of San Antonio, District 3",Erin Gallegos Reid,14
1011,"For Council, City of San Antonio, District 3",Larry La Rose,13
1012,For Mayor City of San Antonio,Vote,For
1012,For Mayor City of San Antonio,TOTAL,VOTE
1012,For Mayor City of San Antonio,Ray Adam Basaldua,8
1012,For Mayor City of San Antonio,Christopher T. Schuchardt,35
1012,For Mayor City of San Antonio,Christopher Longoria,9
1012,For Mayor City of San Antonio,Ron Nirenberg,114
1012,For Mayor City of San Antonio,Armando Dominguez,4
1012,For Mayor City of San Antonio,Michael Idrogo,2
1012,For Mayor City of San Antonio,Gary Allen,20
1012,For Mayor City of San Antonio,Michael Samaniego,7
1012,For Mayor City of San Antonio,Diana Flores Uriegas,9
1012,"For Council, City of San Antonio, District 4",Vote,For
1012,"For Council, City of San Antonio, District 4",TOTAL,VOTE
1012,"For Council, City of San Antonio, District 4",Adriana Rocha Garcia,126
1012,"For Council, City of San Antonio, District 4",Gregorio De La Paz,48
1013,For Mayor City of San Antonio,Vote,For
1013,For Mayor City of San Antonio,TOTAL,VOTE
1013,For Mayor City of San Antonio,Ray Adam Basaldua,6
1013,For Mayor City of San Antonio,Christopher T. Schuchardt,25
1013,For Mayor City of San Antonio,Christopher Longoria,8
1013,For Mayor City of San Antonio,Ron Nirenberg,218
1013,For Mayor City of San Antonio,Armando Dominguez,2
1013,For Mayor City of San Antonio,Michael Idrogo,1
1013,For Mayor City of San Antonio,Gary Allen,10
1013,For Mayor City of San Antonio,Michael Samaniego,5
1013,For Mayor City of San Antonio,Diana Flores Uriegas,14
1013,"For Council, City of San Antonio, District 5",Vote,For
1013,"For Council, City of San Antonio, District 5",TOTAL,VOTE
1013,"For Council, City of San Antonio, District 5",Arturo Espinosa,11
1013,"For Council, City of San Antonio, District 5",Teri Castillo,167
1013,"For Council, City of San Antonio, District 5",Rudy Lopez,107
1014,For Mayor City of San Antonio,Vote,For
1014,For Mayor City of San Antonio,TOTAL,VOTE
1014,For Mayor City of San Antonio,Ray Adam Basaldua,2
1014,For Mayor City of San Antonio,Christopher T. Schuchardt,14
1014,For Mayor City of San Antonio,Christopher Longoria,1
1014,For Mayor City of San Antonio,Ron Nirenberg,61
1014,For Mayor City of San Antonio,Armando Dominguez,0
1014,For Mayor City of San Antonio,Michael Idrogo,0
1014,For Mayor City of San Antonio,Gary Allen,2
1014,For Mayor City of San Antonio,Michael Samaniego,2
1014,For Mayor City of San Antonio,Diana Flores Uriegas,4
1014,"For Council, City of San Antonio, District 5",Vote,For
1014,"For Council, City of San Antonio, District 5",TOTAL,VOTE
1014,"For Council, City of San Antonio, District 5",Arturo Espinosa,6
1014,"For Council, City of San Antonio, District 5",Teri Castillo,46
1014,"For Council, City of San Antonio, District 5",Rudy Lopez,29
1015,For Mayor City of San Antonio,Vote,For
1015,For Mayor City of San Antonio,TOTAL,VOTE
1015,For Mayor City of San Antonio,Ray Adam Basaldua,6
