,Precinct,Race,Candidate,Total Votes,Vote Percentage
702,3059 BS 5,District 9,,0,0.0
703,3059 BS 5,District 9,Patrick Von Dohlen 156 66.95% 75,9,33.33
704,3059 BS 5,District 9,John Courage 77 33.05% 21,18,66.67
706,3062 BS 5,District 9,TOTAL VOTE % Election,0,0.0
707,3062 BS 5,District 9,,0,0.0
708,3062 BS 5,District 9,Patrick Von Dohlen 2 33.33% 1,0,0.0
709,3062 BS 5,District 9,John Courage 4 66.67% 0,3,100.0
711,3063 BS 5,District 9,TOTAL VOTE % Election,0,0.0
712,3063 BS 5,District 9,,0,0.0
713,3063 BS 5,District 9,Patrick Von Dohlen 149 34.81% 55,15,21.43
714,3063 BS 5,District 9,John Courage 279 65.19% 80,55,78.57
716,3064 BS 5,District 9,TOTAL VOTE % Election,0,0.0
717,3064 BS 5,District 9,,0,0.0
718,3064 BS 5,District 9,Patrick Von Dohlen 34 36.17% 15,3,20.0
719,3064 BS 5,District 9,John Courage 60 63.83% 19,12,80.0
721,3066 BS 5,District 9,TOTAL VOTE % Election,0,0.0
722,3066 BS 5,District 9,,0,0.0
723,3066 BS 5,District 9,Patrick Von Dohlen 163 37.47% 48,12,18.18
724,3066 BS 5,District 9,John Courage 272 62.53% 56,54,81.82
726,3068 BS 5,District 9,TOTAL VOTE % Election,0,0.0
727,3068 BS 5,District 9,,0,0.0
728,3068 BS 5,District 9,Patrick Von Dohlen 55 34.59% 24,2,14.29
729,3068 BS 5,District 9,John Courage 104 65.41% 35,12,85.71
731,3069 BS 5,District 9,TOTAL VOTE % Election,0,0.0
732,3069 BS 5,District 9,,0,0.0
733,3069 BS 5,District 9,Patrick Von Dohlen 217 31.82% 66,31,22.46
734,3069 BS 5,District 9,John Courage 465 68.18% 91,107,77.54
736,3076 BS 5,District 9,TOTAL VOTE % Election,0,0.0
737,3076 BS 5,District 9,,0,0.0
738,3076 BS 5,District 9,Patrick Von Dohlen 165 50.15% 55,8,23.53
739,3076 BS 5,District 9,John Courage 164 49.85% 31,26,76.47
741,3078 BS 5,District 9,TOTAL VOTE % Election,0,0.0
742,3078 BS 5,District 9,,0,0.0
743,3078 BS 5,District 9,Patrick Von Dohlen 202 39.07% 67,19,23.75
744,3078 BS 5,District 9,John Courage 315 60.93% 91,61,76.25
746,3079 BS 5,District 9,TOTAL VOTE % Election,0,0.0
747,3079 BS 5,District 9,,0,0.0
748,3079 BS 5,District 9,Patrick Von Dohlen 280 40.35% 61,27,26.21
749,3079 BS 5,District 9,John Courage 414 59.65% 93,76,73.79
751,3080 BS 5,District 9,TOTAL VOTE % Election,0,0.0
752,3080 BS 5,District 9,,0,0.0
753,3080 BS 5,District 9,Patrick Von Dohlen 112 44.44% 37,2,7.69
754,3080 BS 5,District 9,John Courage 140 55.56% 20,24,92.31
756,3081 BS 5,District 9,TOTAL VOTE % Election,0,0.0
757,3081 BS 5,District 9,,0,0.0
758,3081 BS 5,District 9,Patrick Von Dohlen 187 43.29% 31,15,29.41
759,3081 BS 5,District 9,John Courage 245 56.71% 33,36,70.59
761,3083 BS 5,District 9,TOTAL VOTE % Election,0,0.0
762,3083 BS 5,District 9,,0,0.0
763,3083 BS 5,District 9,Patrick Von Dohlen 165 46.48% 46,9,16.07
764,3083 BS 5,District 9,John Courage 190 53.52% 24,47,83.93
766,3093 BS 5,District 9,TOTAL VOTE % Election,0,0.0
767,3093 BS 5,District 9,,0,0.0
768,3093 BS 5,District 9,Patrick Von Dohlen 392 51.11% 159,24,34.78
769,3093 BS 5,District 9,John Courage 375 48.89% 114,45,65.22
771,3102 BS 5,District 9,TOTAL VOTE % Election,0,0.0
772,3102 BS 5,District 9,,0,0.0
773,3102 BS 5,District 9,Patrick Von Dohlen 282 41.23% 97,29,27.36
774,3102 BS 5,District 9,John Courage 402 58.77% 98,77,72.64
776,3104 BS 5,District 9,TOTAL VOTE % Election,0,0.0
777,3104 BS 5,District 9,,0,0.0
778,3104 BS 5,District 9,Patrick Von Dohlen 285 44.19% 66,18,18.95
779,3104 BS 5,District 9,John Courage 360 55.81% 53,77,81.05
781,3111 BS 5,District 9,TOTAL VOTE % Election,0,
782,3111 BS 5,District 9,,0,
783,3111 BS 5,District 9,Patrick Von Dohlen 0 0,0,
784,3111 BS 5,District 9,John Courage 0 0,0,
786,3114 BS 5,District 9,TOTAL VOTE % Election,0,0.0
787,3114 BS 5,District 9,,0,0.0
788,3114 BS 5,District 9,Patrick Von Dohlen 350 52.40% 84,26,32.5
789,3114 BS 5,District 9,John Courage 318 47.60% 37,54,67.5
791,3117 BS 5,District 9,TOTAL VOTE % Election,0,0.0
792,3117 BS 5,District 9,,0,0.0
793,3117 BS 5,District 9,Patrick Von Dohlen 420 47.51% 79,20,19.61
794,3117 BS 5,District 9,John Courage 464 52.49% 68,82,80.39
796,3119 BS 5,District 9,TOTAL VOTE % Election,0,0.0
797,3119 BS 5,District 9,,0,0.0
798,3119 BS 5,District 9,Patrick Von Dohlen 244 42.66% 103,22,27.16
799,3119 BS 5,District 9,John Courage 328 57.34% 102,59,72.84
801,3121 BS 5,District 9,TOTAL VOTE % Election,0,0.0
802,3121 BS 5,District 9,,0,0.0
803,3121 BS 5,District 9,Patrick Von Dohlen 230 47.42% 74,22,33.85
804,3121 BS 5,District 9,John Courage 255 52.58% 85,43,66.15
806,3122 BS 5,District 9,TOTAL VOTE % Election,0,0.0
807,3122 BS 5,District 9,,0,0.0
808,3122 BS 5,District 9,Patrick Von Dohlen 162 41.22% 49,9,15.52
809,3122 BS 5,District 9,John Courage 231 58.78% 46,49,84.48
811,3123 BS 5,District 9,TOTAL VOTE % Election,0,
812,3123 BS 5,District 9,,0,
813,3123 BS 5,District 9,Patrick Von Dohlen 0 0,0,
814,3123 BS 5,District 9,John Courage 0 0,0,
816,3125 BS 5,District 9,TOTAL VOTE % Election,0,
817,3125 BS 5,District 9,,0,
818,3125 BS 5,District 9,Patrick Von Dohlen 0 0,0,
819,3125 BS 5,District 9,John Courage 0 0,0,
821,3130 BS 5,District 9,TOTAL VOTE % Election,0,0.0
822,3130 BS 5,District 9,,0,0.0
823,3130 BS 5,District 9,Patrick Von Dohlen 234 49.58% 98,16,21.62
824,3130 BS 5,District 9,John Courage 238 50.42% 52,58,78.38
826,3131 BS 5,District 9,TOTAL VOTE % Election,0,
827,3131 BS 5,District 9,,0,
828,3131 BS 5,District 9,Patrick Von Dohlen 0 0,0,
829,3131 BS 5,District 9,John Courage 0 0,0,
831,3132 BS 5,District 9,TOTAL VOTE % Election,0,0.0
832,3132 BS 5,District 9,,0,0.0
833,3132 BS 5,District 9,Patrick Von Dohlen 30 35.71% 16,3,25.0
834,3132 BS 5,District 9,John Courage 54 64.29% 18,9,75.0
836,3136 BS 1,District 1,TOTAL VOTE % Election,0,0.0
837,3136 BS 1,District 1,,0,0.0
838,3136 BS 1,District 1,Mario Bravo 37 48.68% 7,4,25.0
839,3136 BS 1,District 1,Roberto C. Treviño 39 51.32% 7,12,75.0
841,3137 BS 5,District 9,TOTAL VOTE % Election,0,
842,3137 BS 5,District 9,,0,
843,3137 BS 5,District 9,Patrick Von Dohlen 1 25.00% 0,0,
844,3137 BS 5,District 9,John Courage 3 75.00% 0,0,
846,3138 BS 5,District 9,TOTAL VOTE % Election,0,0.0
847,3138 BS 5,District 9,,0,0.0
848,3138 BS 5,District 9,Patrick Von Dohlen 8 80.00% 4,1,50.0
849,3138 BS 5,District 9,John Courage 2 20.00% 1,1,50.0
851,3145 BS 5,District 9,TOTAL VOTE % Election,0,0.0
852,3145 BS 5,District 9,,0,0.0
853,3145 BS 5,District 9,Patrick Von Dohlen 227 49.24% 79,9,16.07
854,3145 BS 5,District 9,John Courage 234 50.76% 54,47,83.93
856,3150 BS 5,District 9,TOTAL VOTE % Election,0,0.0
857,3150 BS 5,District 9,,0,0.0
858,3150 BS 5,District 9,Patrick Von Dohlen 0 0.00% 0,0,0.0
859,3150 BS 5,District 9,John Courage 8 100.00% 2,4,100.0
861,3154 BS 5,District 9,TOTAL VOTE % Election,0,0.0
862,3154 BS 5,District 9,,0,0.0
863,3154 BS 5,District 9,Patrick Von Dohlen 247 48.43% 52,22,26.83
864,3154 BS 5,District 9,John Courage 263 51.57% 35,60,73.17
866,3155 BS 5,District 9,TOTAL VOTE % Election,0,0.0
867,3155 BS 5,District 9,,0,0.0
868,3155 BS 5,District 9,Patrick Von Dohlen 237 57.95% 88,7,20.59
869,3155 BS 5,District 9,John Courage 172 42.05% 54,27,79.41
871,3161 BS 5,District 9,TOTAL VOTE % Election,0,0.0
872,3161 BS 5,District 9,,0,0.0
873,3161 BS 5,District 9,Patrick Von Dohlen 118 42.45% 30,9,22.5
874,3161 BS 5,District 9,John Courage 160 57.55% 37,31,77.5
876,3163 BS 5,District 9,TOTAL VOTE % Election,0,0.0
877,3163 BS 5,District 9,,0,0.0
878,3163 BS 5,District 9,Patrick Von Dohlen 223 54.13% 87,4,10.81
879,3163 BS 5,District 9,John Courage 189 45.87% 49,33,89.19
881,3164 BS 5,District 9,TOTAL VOTE % Election,0,
882,3164 BS 5,District 9,,0,
883,3164 BS 5,District 9,Patrick Von Dohlen 0 0.00% 0,0,
884,3164 BS 5,District 9,John Courage 2 100.00% 2,0,
886,3165 BS 5,District 9,TOTAL VOTE % Election,0,0.0
887,3165 BS 5,District 9,,0,0.0
888,3165 BS 5,District 9,Patrick Von Dohlen 393 54.21% 101,14,23.33
889,3165 BS 5,District 9,John Courage 332 45.79% 64,46,76.67
891,3166 BS 1,District 1,TOTAL VOTE % Election,0,0.0
892,3166 BS 1,District 1,,0,0.0
893,3166 BS 1,District 1,Mario Bravo 47 51.65% 23,5,33.33
894,3166 BS 1,District 1,Roberto C. Treviño 44 48.35% 17,10,66.67
896,3173 BS 5,District 9,TOTAL VOTE % Election,0,0.0
897,3173 BS 5,District 9,,0,0.0
898,3173 BS 5,District 9,Patrick Von Dohlen 240 51.50% 80,10,25.64
899,3173 BS 5,District 9,John Courage 226 48.50% 49,29,74.36
901,3178 BS 4,District 2,TOTAL VOTE % Election,0,
902,3178 BS 4,District 2,,0,
903,3178 BS 4,District 2,Jada Andrews-Sullivan 0 0,0,
904,3178 BS 4,District 2,Jalen McKee-Rodriguez 0 0,0,
906,3179 BS 5,District 9,TOTAL VOTE % Election,0,
907,3179 BS 5,District 9,,0,
908,3179 BS 5,District 9,Patrick Von Dohlen 0 0,0,
909,3179 BS 5,District 9,John Courage 0 0,0,
911,3180 BS 5,District 9,TOTAL VOTE % Election,0,0.0
912,3180 BS 5,District 9,,0,0.0
913,3180 BS 5,District 9,Patrick Von Dohlen 73 37.44% 16,6,22.22
914,3180 BS 5,District 9,John Courage 122 62.56% 32,21,77.78
916,3181 BS 5,District 9,TOTAL VOTE % Election,0,0.0
917,3181 BS 5,District 9,,0,0.0
918,3181 BS 5,District 9,Patrick Von Dohlen 301 55.54% 114,21,33.87
919,3181 BS 5,District 9,John Courage 241 44.46% 47,41,66.13
921,3182 BS 5,District 9,TOTAL VOTE % Election,0,0.0
922,3182 BS 5,District 9,,0,0.0
923,3182 BS 5,District 9,Patrick Von Dohlen 61 42.07% 23,8,21.05
924,3182 BS 5,District 9,John Courage 84 57.93% 19,30,78.95
926,3192 BS 5,District 9,TOTAL VOTE % Election,0,
927,3192 BS 5,District 9,,0,
928,3192 BS 5,District 9,Patrick Von Dohlen 0 0,0,
929,3192 BS 5,District 9,John Courage 0 0,0,
931,3193 BS 5,District 9,TOTAL VOTE % Election,0,0.0
932,3193 BS 5,District 9,,0,0.0
933,3193 BS 5,District 9,Patrick Von Dohlen 10 38.46% 3,0,0.0
934,3193 BS 5,District 9,John Courage 16 61.54% 3,1,100.0
936,3201 BS 5,District 9,TOTAL VOTE % Election,0,
937,3201 BS 5,District 9,,0,
938,3201 BS 5,District 9,Patrick Von Dohlen 0 0,0,
939,3201 BS 5,District 9,John Courage 0 0,0,
941,3204 BS 1,District 1,TOTAL VOTE % Election,0,
942,3204 BS 1,District 1,,0,
943,3204 BS 1,District 1,Mario Bravo 0 0,0,
944,3204 BS 1,District 1,Roberto C. Treviño 0 0,0,
946,3205 BS 1,District 1,TOTAL VOTE % Election,0,
947,3205 BS 1,District 1,,0,
948,3205 BS 1,District 1,Mario Bravo 0 0,0,
949,3205 BS 1,District 1,Roberto C. Treviño 0 0,0,
951,3206 BS 4,District 2,TOTAL VOTE % Election,0,
952,3206 BS 4,District 2,,0,
953,3206 BS 4,District 2,Jada Andrews-Sullivan 1 9.09% 0,0,
954,3206 BS 4,District 2,Jalen McKee-Rodriguez 10 90.91% 2,0,
956,3207 BS 4,District 2,TOTAL VOTE % Election,0,
957,3207 BS 4,District 2,,0,
958,3207 BS 4,District 2,Jada Andrews-Sullivan 0 0,0,
959,3207 BS 4,District 2,Jalen McKee-Rodriguez 0 0,0,
961,3208 BS 1,District 1,TOTAL VOTE % Election,0,
962,3208 BS 1,District 1,,0,
963,3208 BS 1,District 1,Mario Bravo 3 75.00% 0,0,
964,3208 BS 1,District 1,Roberto C. Treviño 1 25.00% 0,0,
966,4001 BS 1,District 1,TOTAL VOTE % Election,0,0.0
967,4001 BS 1,District 1,,0,0.0
968,4001 BS 1,District 1,Mario Bravo 140 54.47% 35,35,60.34
969,4001 BS 1,District 1,Roberto C. Treviño 117 45.53% 29,23,39.66
971,4002 BS 4,District 2,TOTAL VOTE % Election,0,0.0
972,4002 BS 4,District 2,,0,0.0
973,4002 BS 4,District 2,Jada Andrews-Sullivan 13 22.81% 1,3,27.27
974,4002 BS 4,District 2,Jalen McKee-Rodriguez 44 77.19% 14,8,72.73
976,4003 BS 4,District 2,TOTAL VOTE % Election,0,0.0
977,4003 BS 4,District 2,,0,0.0
978,4003 BS 4,District 2,Jada Andrews-Sullivan 24 24.00% 3,6,60.0
979,4003 BS 4,District 2,Jalen McKee-Rodriguez 76 76.00% 29,4,40.0
981,4004 BS 4,District 2,TOTAL VOTE % Election,0,0.0
982,4004 BS 4,District 2,,0,0.0
983,4004 BS 4,District 2,Jada Andrews-Sullivan 32 24.62% 3,5,38.46
984,4004 BS 4,District 2,Jalen McKee-Rodriguez 98 75.38% 21,8,61.54
986,4005 BS 4,District 2,TOTAL VOTE % Election,0,0.0
987,4005 BS 4,District 2,,0,0.0
988,4005 BS 4,District 2,Jada Andrews-Sullivan 33 17.10% 10,6,31.58
989,4005 BS 4,District 2,Jalen McKee-Rodriguez 160 82.90% 55,13,68.42
991,4006 BS 4,District 2,TOTAL VOTE % Election,0,0.0
992,4006 BS 4,District 2,,0,0.0
993,4006 BS 4,District 2,Jada Andrews-Sullivan 13 20.97% 5,2,40.0
994,4006 BS 4,District 2,Jalen McKee-Rodriguez 49 79.03% 15,3,60.0
996,4007 BS 4,District 2,TOTAL VOTE % Election,0,0.0
997,4007 BS 4,District 2,,0,0.0
998,4007 BS 4,District 2,Jada Andrews-Sullivan 2 20.00% 2,0,0.0
999,4007 BS 4,District 2,Jalen McKee-Rodriguez 8 80.00% 3,1,100.0
1001,4008 BS 4,District 2,TOTAL VOTE % Election,0,0.0
1002,4008 BS 4,District 2,,0,0.0
1003,4008 BS 4,District 2,Jada Andrews-Sullivan 17 18.28% 3,5,45.45
1004,4008 BS 4,District 2,Jalen McKee-Rodriguez 76 81.72% 27,6,54.55
1006,4009 BS 4,District 2,TOTAL VOTE % Election,0,0.0
1007,4009 BS 4,District 2,,0,0.0
1008,4009 BS 4,District 2,Jada Andrews-Sullivan 17 28.81% 5,6,85.71
1009,4009 BS 4,District 2,Jalen McKee-Rodriguez 42 71.19% 8,1,14.29
1011,4010 BS 4,District 2,TOTAL VOTE % Election,0,0.0
1012,4010 BS 4,District 2,,0,0.0
1013,4010 BS 4,District 2,Jada Andrews-Sullivan 32 39.02% 3,12,57.14
1014,4010 BS 4,District 2,Jalen McKee-Rodriguez 50 60.98% 14,9,42.86
1016,4011 BS 4,District 2,TOTAL VOTE % Election,0,0.0
1017,4011 BS 4,District 2,,0,0.0
1018,4011 BS 4,District 2,Jada Andrews-Sullivan 34 41.46% 12,8,61.54
1019,4011 BS 4,District 2,Jalen McKee-Rodriguez 48 58.54% 15,5,38.46
1021,4012 BS 4,District 2,TOTAL VOTE % Election,0,0.0
1022,4012 BS 4,District 2,,0,0.0
1023,4012 BS 4,District 2,Jada Andrews-Sullivan 25 41.67% 8,5,55.56
1024,4012 BS 4,District 2,Jalen McKee-Rodriguez 35 58.33% 8,4,44.44
1026,4013 BS 3,District 3,TOTAL VOTE % Election,0,0.0
1027,4013 BS 3,District 3,,0,0.0
1028,4013 BS 3,District 3,Tomas Uresti 23 35.94% 7,9,40.91
1029,4013 BS 3,District 3,Phyllis Viagran 41 64.06% 9,13,59.09
1031,4014 BS 4,District 2,TOTAL VOTE % Election,0,0.0
1032,4014 BS 4,District 2,,0,0.0
1033,4014 BS 4,District 2,Jada Andrews-Sullivan 5 22.73% 2,2,40.0
1034,4014 BS 4,District 2,Jalen McKee-Rodriguez 17 77.27% 5,3,60.0
1036,4015 BS 1,District 1,TOTAL VOTE % Election,0,0.0
1037,4015 BS 1,District 1,,0,0.0
1038,4015 BS 1,District 1,Mario Bravo 89 44.72% 27,11,45.83
1039,4015 BS 1,District 1,Roberto C. Treviño 110 55.28% 24,13,54.17
1041,4016 BS 3,District 3,TOTAL VOTE % Election,0,0.0
1042,4016 BS 3,District 3,,0,0.0
1043,4016 BS 3,District 3,Tomas Uresti 78 42.39% 20,22,40.74
1044,4016 BS 3,District 3,Phyllis Viagran 106 57.61% 33,32,59.26
1046,4017 BS 1,District 1,TOTAL VOTE % Election,0,0.0
1047,4017 BS 1,District 1,,0,0.0
1048,4017 BS 1,District 1,Mario Bravo 157 53.22% 50,18,54.55
1049,4017 BS 1,District 1,Roberto C. Treviño 138 46.78% 52,15,45.45
1051,4018 BS 1,District 1,TOTAL VOTE % Election,0,0.0
1052,4018 BS 1,District 1,,0,0.0
1053,4018 BS 1,District 1,Mario Bravo 138 54.55% 34,11,42.31
1054,4018 BS 1,District 1,Roberto C. Treviño 115 45.45% 25,15,57.69
1056,4019 BS 3,District 3,TOTAL VOTE % Election,0,0.0
1057,4019 BS 3,District 3,,0,0.0
1058,4019 BS 3,District 3,Tomas Uresti 47 34.56% 12,16,39.02
1059,4019 BS 3,District 3,Phyllis Viagran 89 65.44% 24,25,60.98
1061,4020 BS 3,District 3,TOTAL VOTE % Election,0,0.0
1062,4020 BS 3,District 3,,0,0.0
1063,4020 BS 3,District 3,Tomas Uresti 5 20.83% 0,2,14.29
1064,4020 BS 3,District 3,Phyllis Viagran 19 79.17% 2,12,85.71
1066,4021 BS 4,District 2,TOTAL VOTE % Election,0,0.0
1067,4021 BS 4,District 2,,0,0.0
1068,4021 BS 4,District 2,Jada Andrews-Sullivan 18 28.12% 6,8,36.36
1069,4021 BS 4,District 2,Jalen McKee-Rodriguez 46 71.88% 18,14,63.64
1071,4023 BS 3,District 3,TOTAL VOTE % Election,0,0.0
1072,4023 BS 3,District 3,,0,0.0
1073,4023 BS 3,District 3,Tomas Uresti 58 37.66% 14,20,33.33
1074,4023 BS 3,District 3,Phyllis Viagran 96 62.34% 20,40,66.67
1076,4024 BS 3,District 3,TOTAL VOTE % Election,0,0.0
1077,4024 BS 3,District 3,,0,0.0
1078,4024 BS 3,District 3,Tomas Uresti 71 42.77% 26,12,23.53
1079,4024 BS 3,District 3,Phyllis Viagran 95 57.23% 23,39,76.47
1081,4025 BS 3,District 3,TOTAL VOTE % Election,0,0.0
1082,4025 BS 3,District 3,,0,0.0
1083,4025 BS 3,District 3,Tomas Uresti 31 37.35% 6,9,33.33
1084,4025 BS 3,District 3,Phyllis Viagran 52 62.65% 14,18,66.67
1086,4026 BS 3,District 3,TOTAL VOTE % Election,0,0.0
1087,4026 BS 3,District 3,,0,0.0
1088,4026 BS 3,District 3,Tomas Uresti 73 32.74% 11,25,33.78
1089,4026 BS 3,District 3,Phyllis Viagran 150 67.26% 31,49,66.22
1091,4027 BS 3,District 3,TOTAL VOTE % Election,0,0.0
1092,4027 BS 3,District 3,,0,0.0
1093,4027 BS 3,District 3,Tomas Uresti 50 35.46% 14,15,32.61
1094,4027 BS 3,District 3,Phyllis Viagran 91 64.54% 6,31,67.39
1096,4028 BS 3,District 3,TOTAL VOTE % Election,0,0.0
1097,4028 BS 3,District 3,,0,0.0
1098,4028 BS 3,District 3,Tomas Uresti 96 44.44% 29,23,36.51
1099,4028 BS 3,District 3,Phyllis Viagran 120 55.56% 29,40,63.49
1101,4029 BS 4,District 2,TOTAL VOTE % Election,0,0.0
1102,4029 BS 4,District 2,,0,0.0
1103,4029 BS 4,District 2,Jada Andrews-Sullivan 35 24.48% 9,12,35.29
1104,4029 BS 4,District 2,Jalen McKee-Rodriguez 108 75.52% 30,22,64.71
1106,4030 BS 4,District 2,TOTAL VOTE % Election,0,0.0
1107,4030 BS 4,District 2,,0,0.0
1108,4030 BS 4,District 2,Jada Andrews-Sullivan 16 55.17% 2,6,60.0
1109,4030 BS 4,District 2,Jalen McKee-Rodriguez 13 44.83% 2,4,40.0
1111,4031 BS 3,District 3,TOTAL VOTE % Election,0,0.0
1112,4031 BS 3,District 3,,0,0.0
1113,4031 BS 3,District 3,Tomas Uresti 44 39.64% 8,12,34.29
1114,4031 BS 3,District 3,Phyllis Viagran 67 60.36% 12,23,65.71
1116,4032 BS 3,District 3,TOTAL VOTE % Election,0,0.0
1117,4032 BS 3,District 3,,0,0.0
1118,4032 BS 3,District 3,Tomas Uresti 40 30.30% 14,13,30.95
1119,4032 BS 3,District 3,Phyllis Viagran 92 69.70% 12,29,69.05
1121,4033 BS 3,District 3,TOTAL VOTE % Election,0,0.0
1122,4033 BS 3,District 3,,0,0.0
1123,4033 BS 3,District 3,Tomas Uresti 89 37.40% 27,30,37.97
1124,4033 BS 3,District 3,Phyllis Viagran 149 62.60% 38,49,62.03
1126,4034 BS 3,District 3,TOTAL VOTE % Election,0,0.0
1127,4034 BS 3,District 3,,0,0.0
1128,4034 BS 3,District 3,Tomas Uresti 52 39.69% 12,20,35.09
1129,4034 BS 3,District 3,Phyllis Viagran 79 60.31% 13,37,64.91
1131,4035 BS 4,District 2,TOTAL VOTE % Election,0,
1132,4035 BS 4,District 2,,0,
1133,4035 BS 4,District 2,Jada Andrews-Sullivan 0 0,0,
1134,4035 BS 4,District 2,Jalen McKee-Rodriguez 0 0,0,
1136,4036 BS 4,District 2,TOTAL VOTE % Election,0,0.0
1137,4036 BS 4,District 2,,0,0.0
1138,4036 BS 4,District 2,Jada Andrews-Sullivan 146 47.71% 22,38,53.52
1139,4036 BS 4,District 2,Jalen McKee-Rodriguez 160 52.29% 15,33,46.48
1141,4037 BS 4,District 2,TOTAL VOTE % Election,0,0.0
1142,4037 BS 4,District 2,,0,0.0
1143,4037 BS 4,District 2,Jada Andrews-Sullivan 78 61.42% 9,17,56.67
1144,4037 BS 4,District 2,Jalen McKee-Rodriguez 49 38.58% 10,13,43.33
1146,4039 BS 4,District 2,TOTAL VOTE % Election,0,0.0
1147,4039 BS 4,District 2,,0,0.0
1148,4039 BS 4,District 2,Jada Andrews-Sullivan 90 56.60% 18,18,66.67
1149,4039 BS 4,District 2,Jalen McKee-Rodriguez 69 43.40% 14,9,33.33
1151,4040 BS 4,District 2,TOTAL VOTE % Election,0,0.0
1152,4040 BS 4,District 2,,0,0.0
1153,4040 BS 4,District 2,Jada Andrews-Sullivan 65 50.39% 13,18,56.25
1154,4040 BS 4,District 2,Jalen McKee-Rodriguez 64 49.61% 13,14,43.75
1156,4041 BS 4,District 2,TOTAL VOTE % Election,0,0.0
1157,4041 BS 4,District 2,,0,0.0
1158,4041 BS 4,District 2,Jada Andrews-Sullivan 127 60.48% 17,30,66.67
1159,4041 BS 4,District 2,Jalen McKee-Rodriguez 83 39.52% 9,15,33.33
1161,4042 BS 4,District 2,TOTAL VOTE % Election,0,
1162,4042 BS 4,District 2,,0,
1163,4042 BS 4,District 2,Jada Andrews-Sullivan 2 40.00% 1,0,
1164,4042 BS 4,District 2,Jalen McKee-Rodriguez 3 60.00% 3,0,
1166,4044 BS 4,District 2,TOTAL VOTE % Election,0,0.0
1167,4044 BS 4,District 2,,0,0.0
1168,4044 BS 4,District 2,Jada Andrews-Sullivan 31 33.33% 12,15,62.5
1169,4044 BS 4,District 2,Jalen McKee-Rodriguez 62 66.67% 22,9,37.5
1171,4045 BS 4,District 2,TOTAL VOTE % Election,0,0.0
1172,4045 BS 4,District 2,,0,0.0
1173,4045 BS 4,District 2,Jada Andrews-Sullivan 52 23.96% 19,14,22.95
1174,4045 BS 4,District 2,Jalen McKee-Rodriguez 165 76.04% 41,47,77.05
1176,4047 BS 4,District 2,TOTAL VOTE % Election,0,0.0
1177,4047 BS 4,District 2,,0,0.0
1178,4047 BS 4,District 2,Jada Andrews-Sullivan 41 26.11% 12,15,40.54
1179,4047 BS 4,District 2,Jalen McKee-Rodriguez 116 73.89% 33,22,59.46
1181,4048 BS 3,District 3,TOTAL VOTE % Election,0,0.0
1182,4048 BS 3,District 3,,0,0.0
1183,4048 BS 3,District 3,Tomas Uresti 51 36.17% 9,14,34.15
1184,4048 BS 3,District 3,Phyllis Viagran 90 63.83% 23,27,65.85
1186,4049 BS 4,District 2,TOTAL VOTE % Election,0,0.0
1187,4049 BS 4,District 2,,0,0.0
1188,4049 BS 4,District 2,Jada Andrews-Sullivan 52 40.62% 19,13,43.33
1189,4049 BS 4,District 2,Jalen McKee-Rodriguez 76 59.38% 23,17,56.67
1191,4062 BS 3,District 3,TOTAL VOTE % Election,0,0.0
1192,4062 BS 3,District 3,,0,0.0
1193,4062 BS 3,District 3,Tomas Uresti 10 34.48% 0,7,36.84
1194,4062 BS 3,District 3,Phyllis Viagran 19 65.52% 0,12,63.16
1196,4063 BS 4,District 2,TOTAL VOTE % Election,0,0.0
1197,4063 BS 4,District 2,,0,0.0
1198,4063 BS 4,District 2,Jada Andrews-Sullivan 15 29.41% 1,10,66.67
1199,4063 BS 4,District 2,Jalen McKee-Rodriguez 36 70.59% 7,5,33.33
1201,4065 BS 4,District 2,TOTAL VOTE % Election,0,0.0
1202,4065 BS 4,District 2,,0,0.0
1203,4065 BS 4,District 2,Jada Andrews-Sullivan 74 41.11% 28,14,42.42
1204,4065 BS 4,District 2,Jalen McKee-Rodriguez 106 58.89% 41,19,57.58
1206,4068 BS 4,District 2,TOTAL VOTE % Election,0,0.0
1207,4068 BS 4,District 2,,0,0.0
1208,4068 BS 4,District 2,Jada Andrews-Sullivan 4 50.00% 0,2,66.67
1209,4068 BS 4,District 2,Jalen McKee-Rodriguez 4 50.00% 1,1,33.33
1211,4070 BS 4,District 2,TOTAL VOTE % Election,0,0.0
1212,4070 BS 4,District 2,,0,0.0
1213,4070 BS 4,District 2,Jada Andrews-Sullivan 126 42.71% 30,18,40.91
1214,4070 BS 4,District 2,Jalen McKee-Rodriguez 169 57.29% 31,26,59.09
1216,4075 BS 4,District 2,TOTAL VOTE % Election,0,0.0
1217,4075 BS 4,District 2,,0,0.0
1218,4075 BS 4,District 2,Jada Andrews-Sullivan 8 20.51% 2,0,0.0
1219,4075 BS 4,District 2,Jalen McKee-Rodriguez 31 79.49% 11,7,100.0
1221,4076 BS 4,District 2,TOTAL VOTE % Election,0,0.0
1222,4076 BS 4,District 2,,0,0.0
1223,4076 BS 4,District 2,Jada Andrews-Sullivan 51 34.93% 21,14,48.28
1224,4076 BS 4,District 2,Jalen McKee-Rodriguez 95 65.07% 38,15,51.72
1226,4077 BS 4,District 2,TOTAL VOTE % Election,0,0.0
1227,4077 BS 4,District 2,,0,0.0
1228,4077 BS 4,District 2,Jada Andrews-Sullivan 75 37.31% 15,12,57.14
