Precinct,Race,Candidate,Total Votes
3150,"For Council, City of San Antonio, District 1",Vote,For
3150,"For Council, City of San Antonio, District 1",TOTAL,VOTE
3150,"For Council, City of San Antonio, District 1",Sukh Kaur,6
3150,"For Council, City of San Antonio, District 1",Mario Bravo,2
3166,"For Council, City of San Antonio, District 1",Vote,For
3166,"For Council, City of San Antonio, District 1",TOTAL,VOTE
3166,"For Council, City of San Antonio, District 1",Sukh Kaur,36
3166,"For Council, City of San Antonio, District 1",Mario Bravo,31
3167,"For Council, City of San Antonio, District 1",Vote,For
3167,"For Council, City of San Antonio, District 1",TOTAL,VOTE
3167,"For Council, City of San Antonio, District 1",Sukh Kaur,0
3167,"For Council, City of San Antonio, District 1",Mario Bravo,1
3175,"For Council, City of San Antonio, District 1",Vote,For
3175,"For Council, City of San Antonio, District 1",TOTAL,VOTE
3175,"For Council, City of San Antonio, District 1",Sukh Kaur,45
3175,"For Council, City of San Antonio, District 1",Mario Bravo,34
3182,"For Council, City of San Antonio, District 1",Vote,For
3182,"For Council, City of San Antonio, District 1",TOTAL,VOTE
3182,"For Council, City of San Antonio, District 1",Sukh Kaur,73
3182,"For Council, City of San Antonio, District 1",Mario Bravo,40
3204,"For Council, City of San Antonio, District 1",Vote,For
3204,"For Council, City of San Antonio, District 1",TOTAL,VOTE
3204,"For Council, City of San Antonio, District 1",Sukh,Kaur
3204,"For Council, City of San Antonio, District 1",Mario,Bravo
3205,"For Council, City of San Antonio, District 1",Vote,For
3205,"For Council, City of San Antonio, District 1",TOTAL,VOTE
3205,"For Council, City of San Antonio, District 1",Sukh,Kaur
3205,"For Council, City of San Antonio, District 1",Mario,Bravo
4001,"For Council, City of San Antonio, District 1",Vote,For
4001,"For Council, City of San Antonio, District 1",TOTAL,VOTE
4001,"For Council, City of San Antonio, District 1",Sukh Kaur,176
4001,"For Council, City of San Antonio, District 1",Mario Bravo,56
4015,"For Council, City of San Antonio, District 1",Vote,For
4015,"For Council, City of San Antonio, District 1",TOTAL,VOTE
4015,"For Council, City of San Antonio, District 1",Sukh Kaur,125
4015,"For Council, City of San Antonio, District 1",Mario Bravo,55
4017,"For Council, City of San Antonio, District 1",Vote,For
4017,"For Council, City of San Antonio, District 1",TOTAL,VOTE
4017,"For Council, City of San Antonio, District 1",Sukh Kaur,138
4017,"For Council, City of San Antonio, District 1",Mario Bravo,116
4018,"For Council, City of San Antonio, District 1",Vote,For
4018,"For Council, City of San Antonio, District 1",TOTAL,VOTE
4018,"For Council, City of San Antonio, District 1",Sukh Kaur,166
4018,"For Council, City of San Antonio, District 1",Mario Bravo,97
4155,"For Council, City of San Antonio, District 1",Vote,For
4155,"For Council, City of San Antonio, District 1",TOTAL,VOTE
4155,"For Council, City of San Antonio, District 1",Sukh Kaur,234
4155,"For Council, City of San Antonio, District 1",Mario Bravo,104
4157,"For Council, City of San Antonio, District 1",Vote,For
4157,"For Council, City of San Antonio, District 1",TOTAL,VOTE
4157,"For Council, City of San Antonio, District 1",Sukh Kaur,144
4157,"For Council, City of San Antonio, District 1",Mario Bravo,127
4203,"For Council, City of San Antonio, District 1",Vote,For
4203,"For Council, City of San Antonio, District 1",TOTAL,VOTE
4203,"For Council, City of San Antonio, District 1",Sukh Kaur,13
4203,"For Council, City of San Antonio, District 1",Mario Bravo,7
4211,"For Council, City of San Antonio, District 1",Vote,For
4211,"For Council, City of San Antonio, District 1",TOTAL,VOTE
4211,"For Council, City of San Antonio, District 1",Sukh Kaur,2
4211,"For Council, City of San Antonio, District 1",Mario Bravo,3
4217,"For Council, City of San Antonio, District 1",Vote,For
4217,"For Council, City of San Antonio, District 1",TOTAL,VOTE
4217,"For Council, City of San Antonio, District 1",Sukh Kaur,3
4217,"For Council, City of San Antonio, District 1",Mario Bravo,1
4228,"For Council, City of San Antonio, District 1",Vote,For
4228,"For Council, City of San Antonio, District 1",TOTAL,VOTE
4228,"For Council, City of San Antonio, District 1",Sukh Kaur,56
4228,"For Council, City of San Antonio, District 1",Mario Bravo,14
