Precinct,Race,Candidate,Total Votes
2050,"For Council, City of San Antonio, District 7",TOTAL,VOTE
2050,"For Council, City of San Antonio, District 7",Dan Rossiter,58
2050,"For Council, City of San Antonio, District 7",Marina Alderete Gavito,98
2051,"For Council, City of San Antonio, District 1",Vote,For
2051,"For Council, City of San Antonio, District 1",TOTAL,VOTE
2051,"For Council, City of San Antonio, District 1",Sukh Kaur,22
2051,"For Council, City of San Antonio, District 1",Mario Bravo,16
2052,"For Council, City of San Antonio, District 1",Vote,For
2052,"For Council, City of San Antonio, District 1",TOTAL,VOTE
2052,"For Council, City of San Antonio, District 1",Sukh Kaur,27
2052,"For Council, City of San Antonio, District 1",Mario Bravo,39
2053,"For Council, City of San Antonio, District 1",Vote,For
2053,"For Council, City of San Antonio, District 1",TOTAL,VOTE
2053,"For Council, City of San Antonio, District 1",Sukh Kaur,61
2053,"For Council, City of San Antonio, District 1",Mario Bravo,26
2054,"For Council, City of San Antonio, District 1",Vote,For
2054,"For Council, City of San Antonio, District 1",TOTAL,VOTE
2054,"For Council, City of San Antonio, District 1",Sukh Kaur,146
2054,"For Council, City of San Antonio, District 1",Mario Bravo,83
2055,"For Council, City of San Antonio, District 1",Vote,For
2055,"For Council, City of San Antonio, District 1",TOTAL,VOTE
2055,"For Council, City of San Antonio, District 1",Sukh Kaur,149
2055,"For Council, City of San Antonio, District 1",Mario Bravo,51
2056,"For Council, City of San Antonio, District 1",Vote,For
2056,"For Council, City of San Antonio, District 1",TOTAL,VOTE
2056,"For Council, City of San Antonio, District 1",Sukh Kaur,57
2056,"For Council, City of San Antonio, District 1",Mario Bravo,72
2057,"For Council, City of San Antonio, District 1",Vote,For
2057,"For Council, City of San Antonio, District 1",TOTAL,VOTE
2057,"For Council, City of San Antonio, District 1",Sukh Kaur,69
2057,"For Council, City of San Antonio, District 1",Mario Bravo,46
2058,"For Council, City of San Antonio, District 1",Vote,For
2058,"For Council, City of San Antonio, District 1",TOTAL,VOTE
2058,"For Council, City of San Antonio, District 1",Sukh Kaur,69
2058,"For Council, City of San Antonio, District 1",Mario Bravo,85
2059,"For Council, City of San Antonio, District 1",Vote,For
2059,"For Council, City of San Antonio, District 1",TOTAL,VOTE
2059,"For Council, City of San Antonio, District 1",Sukh Kaur,76
2059,"For Council, City of San Antonio, District 1",Mario Bravo,58
2060,"For Council, City of San Antonio, District 1",Vote,For
2060,"For Council, City of San Antonio, District 1",TOTAL,VOTE
2060,"For Council, City of San Antonio, District 1",Sukh Kaur,98
2060,"For Council, City of San Antonio, District 1",Mario Bravo,37
2062,"For Council, City of San Antonio, District 1",Vote,For
2062,"For Council, City of San Antonio, District 1",TOTAL,VOTE
2062,"For Council, City of San Antonio, District 1",Sukh Kaur,63
2062,"For Council, City of San Antonio, District 1",Mario Bravo,108
2064,"For Council, City of San Antonio, District 1",Vote,For
2064,"For Council, City of San Antonio, District 1",TOTAL,VOTE
2064,"For Council, City of San Antonio, District 1",Sukh Kaur,114
2064,"For Council, City of San Antonio, District 1",Mario Bravo,150
2066,"For Council, City of San Antonio, District 7",Vote,For
2066,"For Council, City of San Antonio, District 7",TOTAL,VOTE
2066,"For Council, City of San Antonio, District 7",Dan Rossiter,164
2066,"For Council, City of San Antonio, District 7",Marina Alderete Gavito,234
2067,"For Council, City of San Antonio, District 1",Vote,For
2067,"For Council, City of San Antonio, District 1",TOTAL,VOTE
2067,"For Council, City of San Antonio, District 1",Sukh Kaur,21
2067,"For Council, City of San Antonio, District 1",Mario Bravo,14
2073,"For Council, City of San Antonio, District 1",Vote,For
2073,"For Council, City of San Antonio, District 1",TOTAL,VOTE
2073,"For Council, City of San Antonio, District 1",Sukh Kaur,55
2073,"For Council, City of San Antonio, District 1",Mario Bravo,61
2076,"For Council, City of San Antonio, District 7",Vote,For
2076,"For Council, City of San Antonio, District 7",TOTAL,VOTE
2076,"For Council, City of San Antonio, District 7",Dan Rossiter,64
2076,"For Council, City of San Antonio, District 7",Marina Alderete Gavito,83
2080,"For Council, City of San Antonio, District 1",Vote,For
2080,"For Council, City of San Antonio, District 1",TOTAL,VOTE
2080,"For Council, City of San Antonio, District 1",Sukh Kaur,46
2080,"For Council, City of San Antonio, District 1",Mario Bravo,49
2081,"For Council, City of San Antonio, District 7",Vote,For
2081,"For Council, City of San Antonio, District 7",TOTAL,VOTE
2081,"For Council, City of San Antonio, District 7",Dan Rossiter,22
2081,"For Council, City of San Antonio, District 7",Marina Alderete Gavito,27
2082,"For Council, City of San Antonio, District 1",Vote,For
2082,"For Council, City of San Antonio, District 1",TOTAL,VOTE
2082,"For Council, City of San Antonio, District 1",Sukh Kaur,58
2082,"For Council, City of San Antonio, District 1",Mario Bravo,69
2083,"For Council, City of San Antonio, District 7",Vote,For
2083,"For Council, City of San Antonio, District 7",TOTAL,VOTE
2083,"For Council, City of San Antonio, District 7",Dan Rossiter,48
2083,"For Council, City of San Antonio, District 7",Marina Alderete Gavito,61
2084,"For Council, City of San Antonio, District 7",Vote,For
2084,"For Council, City of San Antonio, District 7",TOTAL,VOTE
2084,"For Council, City of San Antonio, District 7",Dan Rossiter,278
2084,"For Council, City of San Antonio, District 7",Marina Alderete Gavito,264
2085,"For Council, City of San Antonio, District 1",Vote,For
2085,"For Council, City of San Antonio, District 1",TOTAL,VOTE
2085,"For Council, City of San Antonio, District 1",Sukh Kaur,61
2085,"For Council, City of San Antonio, District 1",Mario Bravo,82
2086,"For Council, City of San Antonio, District 7",Vote,For
2086,"For Council, City of San Antonio, District 7",TOTAL,VOTE
2086,"For Council, City of San Antonio, District 7",Dan Rossiter,122
2086,"For Council, City of San Antonio, District 7",Marina Alderete Gavito,170
2090,"For Council, City of San Antonio, District 7",Vote,For
2090,"For Council, City of San Antonio, District 7",TOTAL,VOTE
2090,"For Council, City of San Antonio, District 7",Dan Rossiter,6
2090,"For Council, City of San Antonio, District 7",Marina Alderete Gavito,26
2091,"For Council, City of San Antonio, District 7",Vote,For
2091,"For Council, City of San Antonio, District 7",TOTAL,VOTE
2091,"For Council, City of San Antonio, District 7",Dan Rossiter,26
2091,"For Council, City of San Antonio, District 7",Marina Alderete Gavito,63
2092,"For Council, City of San Antonio, District 1",Vote,For
2092,"For Council, City of San Antonio, District 1",TOTAL,VOTE
2092,"For Council, City of San Antonio, District 1",Sukh Kaur,20
2092,"For Council, City of San Antonio, District 1",Mario Bravo,7
2094,"For Council, City of San Antonio, District 1",Vote,For
2094,"For Council, City of San Antonio, District 1",TOTAL,VOTE
2094,"For Council, City of San Antonio, District 1",Sukh Kaur,25
2094,"For Council, City of San Antonio, District 1",Mario Bravo,4
2096,"For Council, City of San Antonio, District 7",Vote,For
2096,"For Council, City of San Antonio, District 7",TOTAL,VOTE
2096,"For Council, City of San Antonio, District 7",Dan Rossiter,29
2096,"For Council, City of San Antonio, District 7",Marina Alderete Gavito,32
2099,"For Council, City of San Antonio, District 7",Vote,For
2099,"For Council, City of San Antonio, District 7",TOTAL,VOTE
2099,"For Council, City of San Antonio, District 7",Dan Rossiter,50
2099,"For Council, City of San Antonio, District 7",Marina Alderete Gavito,75
2100,"For Council, City of San Antonio, District 1",Vote,For
2100,"For Council, City of San Antonio, District 1",TOTAL,VOTE
2100,"For Council, City of San Antonio, District 1",Sukh Kaur,40
2100,"For Council, City of San Antonio, District 1",Mario Bravo,55
2104,"For Council, City of San Antonio, District 1",Vote,For
2104,"For Council, City of San Antonio, District 1",TOTAL,VOTE
2104,"For Council, City of San Antonio, District 1",Sukh Kaur,16
2104,"For Council, City of San Antonio, District 1",Mario Bravo,3
2108,"For Council, City of San Antonio, District 7",Vote,For
2108,"For Council, City of San Antonio, District 7",TOTAL,VOTE
2108,"For Council, City of San Antonio, District 7",Dan Rossiter,98
2108,"For Council, City of San Antonio, District 7",Marina Alderete Gavito,78
2109,"For Council, City of San Antonio, District 1",Vote,For
2109,"For Council, City of San Antonio, District 1",TOTAL,VOTE
2109,"For Council, City of San Antonio, District 1",Sukh,Kaur
2109,"For Council, City of San Antonio, District 1",Mario,Bravo
2110,"For Council, City of San Antonio, District 7",Vote,For
2110,"For Council, City of San Antonio, District 7",TOTAL,VOTE
2110,"For Council, City of San Antonio, District 7",Dan Rossiter,56
2110,"For Council, City of San Antonio, District 7",Marina Alderete Gavito,65
2114,"For Council, City of San Antonio, District 1",Vote,For
2114,"For Council, City of San Antonio, District 1",TOTAL,VOTE
2114,"For Council, City of San Antonio, District 1",Sukh Kaur,76
2114,"For Council, City of San Antonio, District 1",Mario Bravo,70
2116,"For Council, City of San Antonio, District 1",Vote,For
2116,"For Council, City of San Antonio, District 1",TOTAL,VOTE
2116,"For Council, City of San Antonio, District 1",Sukh,Kaur
2116,"For Council, City of San Antonio, District 1",Mario,Bravo
2119,"For Council, City of San Antonio, District 7",Vote,For
2119,"For Council, City of San Antonio, District 7",TOTAL,VOTE
2119,"For Council, City of San Antonio, District 7",Dan Rossiter,2
2119,"For Council, City of San Antonio, District 7",Marina Alderete Gavito,4
2121,"For Council, City of San Antonio, District 1",Vote,For
2121,"For Council, City of San Antonio, District 1",TOTAL,VOTE
2121,"For Council, City of San Antonio, District 1",Sukh Kaur,18
2121,"For Council, City of San Antonio, District 1",Mario Bravo,4
2123,"For Council, City of San Antonio, District 7",Vote,For
2123,"For Council, City of San Antonio, District 7",TOTAL,VOTE
2123,"For Council, City of San Antonio, District 7",Dan Rossiter,24
2123,"For Council, City of San Antonio, District 7",Marina Alderete Gavito,36
2124,"For Council, City of San Antonio, District 7",Vote,For
2124,"For Council, City of San Antonio, District 7",TOTAL,VOTE
2124,"For Council, City of San Antonio, District 7",Dan Rossiter,34
2124,"For Council, City of San Antonio, District 7",Marina Alderete Gavito,54
2126,"For Council, City of San Antonio, District 7",Vote,For
2126,"For Council, City of San Antonio, District 7",TOTAL,VOTE
2126,"For Council, City of San Antonio, District 7",Dan Rossiter,18
2126,"For Council, City of San Antonio, District 7",Marina Alderete Gavito,18
2129,"For Council, City of San Antonio, District 1",Vote,For
2129,"For Council, City of San Antonio, District 1",TOTAL,VOTE
2129,"For Council, City of San Antonio, District 1",Sukh,Kaur
2129,"For Council, City of San Antonio, District 1",Mario,Bravo
2130,"For Council, City of San Antonio, District 7",Vote,For
2130,"For Council, City of San Antonio, District 7",TOTAL,VOTE
2130,"For Council, City of San Antonio, District 7",Dan Rossiter,40
2130,"For Council, City of San Antonio, District 7",Marina Alderete Gavito,77
2131,"For Council, City of San Antonio, District 1",Vote,For
2131,"For Council, City of San Antonio, District 1",TOTAL,VOTE
2131,"For Council, City of San Antonio, District 1",Sukh Kaur,15
2131,"For Council, City of San Antonio, District 1",Mario Bravo,6
2132,"For Council, City of San Antonio, District 1",Vote,For
2132,"For Council, City of San Antonio, District 1",TOTAL,VOTE
2132,"For Council, City of San Antonio, District 1",Sukh,Kaur
2132,"For Council, City of San Antonio, District 1",Mario,Bravo
2134,"For Council, City of San Antonio, District 1",Vote,For
2134,"For Council, City of San Antonio, District 1",TOTAL,VOTE
2134,"For Council, City of San Antonio, District 1",Sukh Kaur,26
2134,"For Council, City of San Antonio, District 1",Mario Bravo,14
2135,"For Council, City of San Antonio, District 1",Vote,For
2135,"For Council, City of San Antonio, District 1",TOTAL,VOTE
2135,"For Council, City of San Antonio, District 1",Sukh Kaur,22
2135,"For Council, City of San Antonio, District 1",Mario Bravo,14
2137,"For Council, City of San Antonio, District 1",Vote,For
2137,"For Council, City of San Antonio, District 1",TOTAL,VOTE
